elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.168,0.0,0.0,0.0,-0.0087,-0.0118,-0.103,-0.0087,-0.0118,-0.103,0.021,139.7
6.247,0.2219,0.0671,23.137,0.2126,0.0498,22.988,-0.0094,-0.0167,-0.149,0.0354,78.8
9.33,1.0062,0.3787,21.116,0.9997,0.3704,20.986,-0.0073,-0.006,-0.13,0.0289,82.8
12.413,1.7609,0.6577,18.891,1.7547,0.6562,18.859,-0.0065,-0.0004,-0.032,0.0294,83.2
15.5,2.251,1.2653,54.976,2.2384,1.277,55.182,-0.008,0.0036,0.206,0.0252,86.8
18.583,2.8137,1.6949,-3.543,2.7957,1.7178,-3.603,-0.0197,0.0258,-0.06,0.0175,82.9
21.677,3.6432,1.6724,0.077,3.6289,1.7037,-0.051,-0.018,0.0394,-0.127,0.0137,93.3
24.752,4.1794,1.3443,-92.725,4.1661,1.3892,-92.917,-0.0177,0.0589,-0.192,0.0213,75.4
27.863,4.1541,0.9824,-164.679,4.0221,1.0953,-164.862,-0.1351,0.1261,-0.182,0.068,110.7
30.92,4.1534,0.9824,106.067,4.061,1.0614,105.94,-0.0946,0.0883,-0.128,inf,56.8
34.01,4.1531,0.9824,95.345,4.0885,1.0377,95.255,-0.0662,0.0618,-0.089,inf,90.1
37.117,4.1531,0.9824,94.625,4.1079,1.0211,94.563,-0.0463,0.0433,-0.063,inf,106.5
40.211,4.1531,0.9824,95.795,4.1214,1.0095,95.751,-0.0324,0.0303,-0.044,inf,93.5
43.309,4.1531,0.9824,93.917,4.131,1.0013,93.886,-0.0227,0.0212,-0.031,inf,97.5
46.408,4.1531,0.9824,105.787,4.1376,0.9956,105.766,-0.0159,0.0148,-0.021,inf,99.7
49.498,4.1531,0.9824,125.315,4.1423,0.9917,125.3,-0.0111,0.0104,-0.015,inf,89.6
52.582,4.1507,0.9848,22.72,4.1431,0.9913,22.709,-0.0078,0.0073,-0.011,inf,83.2
55.74,4.1507,0.9848,22.786,4.1454,0.9894,22.778,-0.0055,0.0051,-0.007,inf,158.1
58.877,4.1507,0.9848,22.797,4.147,0.988,22.791,-0.0038,0.0036,-0.005,inf,137.3
61.951,4.1507,0.9848,22.808,4.1481,0.987,22.804,-0.0027,0.0025,-0.004,inf,73.8
65.031,4.1507,0.9848,22.808,4.1489,0.9864,22.805,-0.0019,0.0017,-0.003,inf,79.5
