elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.192,0.0,0.0,0.0,-0.009192,-0.013133,-0.0988,-0.009192,-0.013133,-0.0988
1.29,0.0,0.0,0.0,-0.009192,-0.013133,-0.0988,-0.009192,-0.013133,-0.0988
1.318,0.0,0.0,0.0,-0.009192,-0.013133,-0.0988,-0.009192,-0.013133,-0.0988
1.394,0.0,0.0,0.0,-0.009192,-0.013133,-0.0988,-0.009192,-0.013133,-0.0988
1.397,0.0,0.0,0.0,-0.009192,-0.013133,-0.0988,-0.009192,-0.013133,-0.0988
1.494,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0988,-0.009192,-0.013133,-0.1043
1.504,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
1.604,0.0,0.0,0.0,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0933
1.615,0.0,0.0,0.0,-0.009192,-0.013133,-0.0988,-0.009192,-0.013133,-0.0988
1.697,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0988,-0.009192,-0.013133,-0.1043
1.701,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
1.801,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
1.827,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
1.901,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
1.903,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.005,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.009,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.104,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.107,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.204,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.208,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.309,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.318,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.409,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
2.412,0.0,0.0,0.0055,-0.009192,-0.013133,-0.0933,-0.009192,-0.013133,-0.0988
