elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.658,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
0.754,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
0.758,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
0.874,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
0.88,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.037,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.166,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.174,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.174,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.18,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.181,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.269,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.272,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.372,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.386,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.506,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.509,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.574,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.575,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.673,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.682,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.776,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1663
1.786,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
1.882,0.0,0.0,0.0,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1553
1.885,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
1.981,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1663
1.993,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.105,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.121,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.182,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.23,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.3,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.303,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.393,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.397,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.503,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.511,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.589,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.599,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.696,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.715,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.784,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.809,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.886,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.896,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.988,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
2.996,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
3.101,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
3.111,0.0,0.0,0.0055,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1608
3.193,0.0,0.0,0.0,-0.012083,-0.01142,-0.1553,-0.012083,-0.01142,-0.1553
3.2,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.323,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.352,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.396,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.398,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.498,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.522,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.599,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.602,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.699,0.0,0.0,0.0,-0.012083,-0.01142,-0.1608,-0.012083,-0.01142,-0.1608
3.706,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
3.801,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
3.805,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
3.903,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
3.905,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
4.006,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
4.011,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
4.106,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
4.112,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
4.207,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
4.21,0.0,0.0,0.0,-0.0178,-0.017972,-0.2637,-0.0178,-0.017972,-0.2637
