elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.136,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.228,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.234,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.347,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.359,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.434,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.465,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.541,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.576,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.635,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.638,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.737,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.74,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.841,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.848,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.94,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
0.943,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
1.044,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
1.05,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
1.143,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
1.148,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
1.245,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
1.254,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
1.357,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
1.36,0.0,0.0,0.0,-0.008396,-0.012243,-0.014,-0.008396,-0.012243,-0.014
