elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.104,0.0,0.0,-0.005,-0.0084,-0.0113,-0.044,-0.0084,-0.0113,-0.039,0.0222,63.9
6.159,0.0,0.0,-0.027,-0.0124,-0.0155,-0.227,-0.0124,-0.0155,-0.2,0.0225,54.5
9.223,0.6601,0.0375,3.433,0.6479,0.0218,2.721,-0.0127,-0.0075,-0.712,0.0332,64.1
12.283,1.5024,0.1004,4.543,1.4897,0.0893,3.926,-0.0136,0.0051,-0.617,0.0401,59.6
15.346,2.0023,0.4852,104.095,1.9911,0.4909,103.699,-0.0145,0.0195,-0.396,0.0302,63.1
18.392,1.8045,1.0281,166.124,1.7867,1.056,165.712,-0.0252,0.0409,-0.412,0.0327,46.1
21.447,1.0547,1.0818,178.308,1.0416,1.1169,178.108,-0.0169,0.0387,-0.2,0.021,54.4
24.511,0.2188,1.1096,178.445,0.216,1.1314,178.278,-0.0061,0.0224,-0.168,0.0359,63.4
27.567,-0.0015,0.5441,-73.339,-0.0104,0.5494,-73.799,-0.0132,0.0052,-0.46,0.0288,56.1
30.615,0.0848,0.2142,-69.34,0.0807,0.2091,-70.014,-0.0066,-0.0041,-0.674,0.0428,48.0
