elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.827,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
0.925,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
0.928,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.026,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.031,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.129,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.135,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.232,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.236,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.333,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.338,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.438,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.441,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.535,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.538,0.0,0.0,0.0,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0297
1.64,0.0,0.0,-0.0055,-0.008064,-0.012047,0.0297,-0.008064,-0.012047,0.0352
1.643,0.0,0.0,-0.0055,-0.008064,-0.012047,0.0242,-0.008064,-0.012047,0.0297
1.759,0.0,0.0,-0.0055,-0.008064,-0.012047,0.0242,-0.008064,-0.012047,0.0297
