elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.17,0.0,0.0,0.0,-0.0092,-0.0114,-0.024,-0.0092,-0.0114,-0.024,0.0205,146.6
6.249,0.0,0.0,0.0,-0.0125,-0.0173,-0.035,-0.0125,-0.0173,-0.035,0.0207,78.1
9.359,0.2527,0.0031,0.692,0.244,-0.0088,0.046,-0.0087,-0.009,-0.647,0.0435,110.2
12.46,1.0876,0.0098,0.884,1.0799,-0.0024,0.362,-0.0078,-0.0023,-0.523,0.0339,100.9
15.59,1.9202,0.0107,0.401,1.9099,0.0127,0.361,-0.0103,0.0033,-0.04,0.0361,129.4
18.711,2.4203,-0.0018,-0.769,2.4024,0.0114,-1.212,-0.0179,0.0319,-0.443,0.0335,120.6
21.799,2.4203,-0.0015,-0.78,2.4059,0.0194,-0.941,-0.0145,0.0278,-0.161,0.043,87.7
