elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.15,0.0,0.0,0.0,-0.0091,-0.0122,-0.041,-0.0091,-0.0122,-0.041,0.0223,124.5
6.186,0.0,0.0,0.0,-0.0111,-0.016,-0.063,-0.0111,-0.016,-0.063,0.0238,35.7
9.248,0.2039,0.0092,4.373,0.1909,-0.0106,3.77,-0.013,-0.0176,-0.602,0.0248,61.5
12.411,1.0812,0.0739,4.323,1.0676,0.0583,4.004,-0.014,-0.0096,-0.32,0.029,162.8
15.443,1.8677,0.1489,28.79,1.8421,0.154,28.172,-0.0271,0.0252,-0.618,0.043,31.7
18.484,1.9003,0.896,101.343,1.8861,0.9133,100.641,-0.0251,0.0407,-0.703,0.0323,41.4
21.698,1.4078,1.062,173.205,1.3955,1.0975,172.692,-0.0218,0.0481,-0.513,0.0229,212.9
24.812,0.5331,1.0953,179.231,0.5316,1.1262,179.037,-0.0053,0.0327,-0.194,0.0288,114.2
27.984,-0.1236,0.8661,-95.597,-0.124,0.8832,-95.719,-0.0023,0.0169,-0.122,0.043,172.0
31.032,0.0732,0.2106,-68.829,0.0717,0.2098,-69.409,-0.0037,-0.0,-0.58,0.0393,47.5
