elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.247,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.34,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.343,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.441,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.445,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.547,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.55,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.645,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.648,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.749,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.766,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.849,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.854,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.949,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
0.952,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
1.055,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
1.059,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.023
1.153,0.0,0.0,-0.011,-0.007513,-0.012809,-0.0285,-0.007513,-0.012809,-0.0175
1.156,0.0,0.0,-0.011,-0.007513,-0.012809,-0.034,-0.007513,-0.012809,-0.023
1.26,0.0,0.0,-0.0055,-0.007513,-0.012809,-0.034,-0.007513,-0.012809,-0.0285
