elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.059,0.0,0.0,0.0,-0.0093,-0.0095,-0.126,-0.0093,-0.0095,-0.126,0.0243,31.0
6.175,0.0,0.0,0.0,-0.0122,-0.0122,-0.125,-0.0122,-0.0122,-0.125,0.025,116.1
9.299,0.0,0.0,-0.011,-0.0134,-0.0135,-0.194,-0.0134,-0.0135,-0.183,0.026,123.1
12.423,0.0247,0.0009,1.697,0.0102,-0.0123,1.478,-0.0145,-0.0132,-0.219,0.026,124.4
15.532,0.4083,0.076,22.643,0.3939,0.0726,22.421,-0.0147,-0.0018,-0.222,0.0267,108.8
18.664,0.809,0.4504,55.662,0.8021,0.4538,55.523,-0.008,0.0054,-0.14,0.0247,131.7
21.776,1.0629,0.8649,63.375,1.0559,0.8811,63.334,-0.0077,0.017,-0.04,0.0284,110.6
24.92,1.2759,1.2753,71.235,1.2595,1.3068,71.264,-0.0158,0.0308,0.028,0.0198,143.8
28.024,1.4166,1.6635,78.953,1.3986,1.7044,78.769,-0.0234,0.0454,-0.184,0.026,103.9
31.146,1.4432,2.0532,97.641,1.4093,2.1,97.347,-0.0444,0.0542,-0.294,0.0229,121.6
34.29,1.2802,2.2702,159.433,1.2582,2.3241,158.541,-0.0572,0.0741,-0.892,0.0207,144.0
37.391,1.0406,2.2699,-173.144,1.0168,2.317,-174.001,-0.0576,0.063,-0.856,0.0448,101.3
40.512,0.7114,2.2501,-178.335,0.6837,2.3011,-179.074,-0.0566,0.0604,-0.738,0.0312,120.4
43.644,0.2951,2.0691,-116.834,0.2741,2.1136,-117.776,-0.055,0.0496,-0.942,0.0404,131.7
46.758,0.3513,1.6367,-52.635,0.3273,1.6661,-53.247,-0.0414,0.0333,-0.612,0.0389,113.9
49.883,0.7074,1.4841,-6.24,0.6715,1.4991,-6.62,-0.0457,0.0197,-0.379,0.0261,125.4
52.997,0.7452,1.4838,0.104,0.707,1.4943,-0.126,-0.0442,0.0136,-0.231,0.0286,113.8
56.124,0.7455,1.4841,1.505,0.7065,1.4927,1.364,-0.0427,0.0104,-0.141,0.0285,126.4
59.248,0.7455,1.4841,1.527,0.705,1.4923,1.388,-0.0442,0.0101,-0.139,0.0276,123.6
62.363,0.7458,1.4841,1.549,0.7051,1.4922,1.395,-0.0447,0.0101,-0.154,0.0276,115.3
65.484,0.7458,1.4841,1.566,0.7048,1.4922,1.461,-0.0437,0.0095,-0.105,0.0273,120.6
68.615,0.7458,1.4841,1.577,0.7048,1.4923,1.461,-0.0441,0.0098,-0.116,0.0272,130.4
71.721,0.7458,1.4841,1.588,0.7047,1.4923,1.467,-0.0443,0.0098,-0.121,0.0275,105.9
74.834,0.7458,1.4841,1.604,0.7044,1.4921,1.473,-0.0448,0.0097,-0.131,0.0274,112.9
77.957,0.7458,1.4841,1.604,0.7047,1.4922,1.51,-0.0436,0.0094,-0.094,0.0277,122.6
81.07,0.7458,1.4841,1.604,0.7056,1.4923,1.541,-0.0419,0.0091,-0.063,0.0285,112.8
84.19,0.7458,1.4841,1.599,0.7051,1.4917,1.469,-0.0441,0.0093,-0.13,0.0275,119.6
87.309,0.7458,1.4841,1.604,0.7048,1.4923,1.491,-0.044,0.0097,-0.113,0.0279,118.7
90.428,0.7458,1.4841,1.604,0.705,1.4919,1.481,-0.0441,0.0094,-0.123,0.0275,119.2
93.54,0.7458,1.4841,1.599,0.7053,1.4924,1.482,-0.0436,0.0099,-0.117,0.0277,111.8
96.659,0.7458,1.4844,1.593,0.7051,1.4924,1.494,-0.0433,0.0093,-0.099,0.027,118.8
99.778,0.7458,1.4844,1.593,0.7057,1.4927,1.535,-0.0417,0.0091,-0.058,0.0286,118.2
102.901,0.7458,1.4844,1.593,0.7047,1.4919,1.45,-0.0449,0.0094,-0.143,0.0279,123.2
106.006,0.7458,1.4844,1.599,0.7051,1.4921,1.432,-0.045,0.0099,-0.167,0.0277,105.0
109.122,0.7458,1.4844,1.599,0.7051,1.4924,1.472,-0.0441,0.0097,-0.127,0.0276,115.8
112.24,0.7458,1.4844,1.593,0.7047,1.492,1.449,-0.0449,0.0095,-0.144,0.0271,117.2
115.338,0.7458,1.4844,1.593,0.7041,1.4915,1.444,-0.0456,0.0091,-0.149,0.0283,97.6
118.459,0.7458,1.4844,1.582,0.7049,1.4922,1.474,-0.0437,0.0092,-0.108,0.029,121.1
121.554,0.7458,1.4844,1.566,0.7047,1.4923,1.432,-0.0446,0.0096,-0.134,0.0267,94.4
124.675,0.7458,1.4844,1.555,0.7047,1.4919,1.401,-0.0451,0.0095,-0.153,0.0279,121.0
127.78,0.7458,1.4844,1.549,0.7055,1.4924,1.428,-0.0434,0.0096,-0.121,0.0277,105.5
130.91,0.7458,1.4844,1.544,0.7059,1.4925,1.442,-0.0426,0.0094,-0.101,0.0271,129.1
