elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.121,0.0,0.0,-0.005,-0.0075,-0.0128,-0.029,-0.0075,-0.0128,-0.023,0.021,112.3
6.24,0.0,0.0,-0.011,-0.0128,-0.0176,-0.055,-0.0128,-0.0176,-0.044,0.0207,118.8
9.343,0.0,0.0,-0.022,-0.0138,-0.019,-0.084,-0.0138,-0.019,-0.062,0.0199,102.7
12.469,0.0,0.0,-0.027,-0.015,-0.0194,-0.14,-0.015,-0.0194,-0.113,0.0206,125.9
15.593,0.8505,0.1666,11.799,0.8273,0.1545,11.829,-0.0231,-0.0125,0.03,0.0285,123.0
18.705,1.557,0.4782,48.988,1.5371,0.4732,48.979,-0.02,-0.0048,-0.009,0.0381,111.7
21.824,2.1552,1.124,46.154,2.1077,1.1216,46.512,-0.0403,-0.0158,0.359,0.0295,119.7
24.933,2.8186,1.5759,8.152,2.7523,1.5811,8.813,-0.0479,-0.0272,0.661,0.0253,108.2
28.066,3.6792,1.7154,8.344,3.5966,1.7215,8.301,-0.0839,0.0089,-0.043,0.0148,133.2
31.165,4.3939,2.0963,40.232,4.297,2.0998,40.047,-0.1036,0.0177,-0.185,0.0138,98.9
34.288,5.0714,2.6755,38.99,4.9711,2.6533,38.327,-0.1309,0.0368,-0.664,0.0592,122.3
37.375,5.8145,2.9367,3.329,5.7104,2.8951,2.423,-0.1498,0.0507,-0.905,0.062,87.2
40.5,6.6528,2.9941,-7.092,6.5415,2.9365,-7.484,-0.1316,-0.012,-0.392,0.0459,124.7
43.599,6.8781,2.2769,-92.389,6.7633,2.233,-92.687,-0.1265,-0.0082,-0.297,0.0302,98.0
46.702,6.8338,1.3867,-92.653,6.7458,1.3724,-92.634,-0.0876,-0.0166,0.019,0.0215,103.3
49.803,6.7813,0.5328,-93.175,6.7533,0.5402,-93.805,-0.0335,0.082,-0.631,0.0618,101.0
52.93,6.7224,-0.3546,-93.697,6.6979,-0.3415,-94.662,-0.0176,0.1263,-0.965,0.0423,126.8
56.022,6.6644,-1.2454,-93.417,6.6347,-1.2343,-94.515,-0.0047,0.1387,-1.098,0.0397,91.5
59.121,6.6153,-2.1066,-92.258,6.5661,-2.0924,-93.239,-0.0121,0.1273,-0.982,0.0343,98.5
62.233,6.3016,-2.7399,177.984,6.2459,-2.7197,177.688,-0.0415,0.0526,-0.295,0.0343,111.9
65.336,5.4321,-2.655,176.221,5.3902,-2.6468,175.988,-0.0311,0.0303,-0.232,0.0348,102.7
68.444,4.6573,-2.4353,148.381,4.6128,-2.4423,148.045,-0.0301,0.0202,-0.336,0.0463,107.7
71.557,3.9096,-1.9815,150.546,3.8527,-1.9955,149.597,-0.0236,0.0504,-0.948,0.0608,113.3
74.649,3.1281,-1.5237,151.996,3.0662,-1.5339,149.625,0.0038,0.1179,-2.37,0.076,91.7
77.757,2.5934,-0.9177,119.603,2.557,-0.9291,117.904,-0.0081,0.065,-1.698,0.0559,108.0
80.881,2.1799,-0.1483,120.339,2.1527,-0.179,119.352,-0.0243,0.0069,-0.987,0.0366,122.8
83.967,1.5048,0.1547,179.852,1.5011,0.089,179.354,-0.005,-0.0526,-0.497,0.0318,86.3
87.063,0.639,0.199,177.638,0.6386,0.1126,177.603,-0.0006,-0.086,-0.035,0.0272,95.5
