elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
1.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.306,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.412,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.415,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.512,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.516,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.613,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.616,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.709,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.723,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.825,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.828,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.928,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
2.933,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.024,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.03,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.125,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.134,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.226,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.232,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.337,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.342,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.424,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.427,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
3.536,0.0,0.0,0.0,-0.007128,-0.012728,-0.163,-0.007128,-0.012728,-0.163
