elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.052,0.0,0.0,0.0,-0.0084,-0.0122,-0.014,-0.0084,-0.0122,-0.014,0.0218,34.3
6.159,0.0,0.0,0.0,-0.0123,-0.0154,-0.088,-0.0123,-0.0154,-0.088,0.0221,106.4
9.27,0.0818,0.0003,0.352,0.06,-0.0177,0.015,-0.0218,-0.0175,-0.337,0.0234,110.9
12.366,0.9015,0.0043,0.291,0.8876,-0.0091,0.058,-0.0139,-0.0097,-0.233,0.0282,96.2
15.498,1.7508,0.0012,0.324,1.7222,-0.0047,0.095,-0.0286,0.001,-0.229,0.0294,131.4
18.601,2.4445,0.0024,2.477,2.4177,0.0129,1.937,-0.0267,0.0335,-0.541,0.0337,102.7
