elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.166,0.0,0.0,-0.11,-0.0083,-0.0115,-0.204,-0.0083,-0.0115,-0.094,0.0205,135.8
6.231,0.0,0.0,-0.132,-0.0109,-0.0158,-0.177,-0.0109,-0.0158,-0.045,0.0209,64.7
9.305,0.0,0.0,-0.143,-0.0124,-0.017,-0.167,-0.0124,-0.017,-0.024,0.0211,74.1
12.377,0.0,0.0,-0.154,-0.0136,-0.0183,-0.171,-0.0136,-0.0183,-0.017,0.0212,71.3
15.465,0.0,0.0,-0.165,-0.0139,-0.0183,-0.251,-0.0139,-0.0183,-0.086,0.0211,88.4
18.541,0.0,0.0,-0.176,-0.0128,-0.0186,-0.249,-0.0128,-0.0186,-0.073,0.0224,75.8
21.617,0.0,0.0,-0.187,-0.0136,-0.0191,-0.293,-0.0136,-0.0191,-0.106,0.021,75.3
24.697,0.0,0.0,-0.198,-0.0142,-0.018,-0.282,-0.0142,-0.018,-0.084,0.0212,79.9
27.777,0.0,0.0,-0.209,-0.0135,-0.017,-0.363,-0.0135,-0.017,-0.154,0.0235,80.2
30.834,0.0,0.0,-0.22,-0.0143,-0.0174,-0.312,-0.0143,-0.0174,-0.092,0.0207,55.9
33.902,0.0,0.0,-0.22,-0.014,-0.0185,-0.288,-0.014,-0.0185,-0.069,0.0202,68.6
36.961,0.0,0.0,-0.225,-0.014,-0.0188,-0.265,-0.014,-0.0188,-0.04,0.0207,58.9
40.034,0.0,0.0,-0.231,-0.0138,-0.0186,-0.261,-0.0138,-0.0186,-0.031,0.0215,72.0
43.12,0.1398,0.0128,10.662,0.1214,-0.0029,10.397,-0.0184,-0.0151,-0.265,0.0354,86.3
46.186,0.9772,0.1895,11.635,0.9557,0.1804,11.478,-0.022,-0.0064,-0.156,0.0292,65.5
49.259,1.6534,0.5878,46.983,1.6311,0.5837,46.861,-0.0236,-0.0005,-0.122,0.0352,72.5
52.319,2.2318,1.2054,46.115,2.1821,1.2091,46.179,-0.0483,0.0011,0.064,0.0191,60.3
55.397,2.9007,1.5842,8.899,2.8376,1.5919,8.843,-0.0646,0.0105,-0.055,0.0169,77.1
58.468,3.7534,1.7365,9.613,3.6769,1.7452,9.378,-0.0835,0.0242,-0.235,0.0142,70.7
61.534,4.4159,2.1185,40.496,4.3316,2.1299,39.759,-0.1112,0.0683,-0.736,0.0216,66.7
64.601,5.0839,2.7008,39.282,5.0011,2.6884,38.535,-0.1176,0.054,-0.746,0.0612,66.2
67.659,5.8276,2.9303,2.714,5.7411,2.8998,2.073,-0.119,0.0349,-0.64,0.0578,57.3
70.723,6.636,2.9739,-11.14,6.5479,2.9325,-11.115,-0.0868,-0.0444,0.025,0.0476,64.0
73.775,6.8213,2.2391,-92.318,6.7341,2.2125,-92.336,-0.0878,-0.0244,-0.018,0.035,52.1
76.821,6.778,1.38,-92.697,6.7193,1.3677,-92.577,-0.0557,-0.0265,0.12,0.0247,46.1
79.883,6.731,0.5313,-92.785,6.7249,0.5462,-93.453,-0.0118,0.0934,-0.668,0.0636,61.1
82.942,6.6827,-0.3259,-93.027,6.6938,-0.3056,-94.105,0.0184,0.146,-1.078,0.0466,59.5
86.001,6.6312,-1.1847,-93.016,6.6369,-1.1712,-94.179,0.0311,0.1478,-1.163,0.0407,58.6
89.041,6.5878,-2.0224,-92.62,6.576,-2.0108,-93.547,0.0218,0.1179,-0.927,0.033,39.8
92.11,6.3693,-2.7121,-165.899,6.3492,-2.6962,-166.594,0.0132,0.093,-0.695,0.0325,68.1
95.155,5.5093,-2.6559,177.061,5.497,-2.6412,176.596,0.0094,0.0594,-0.465,0.0338,44.9
98.206,4.7198,-2.5064,148.53,4.7015,-2.5113,148.153,-0.0017,0.0261,-0.376,0.0471,51.3
101.256,3.9774,-2.0416,149.776,3.9553,-2.0639,148.917,0.0091,0.0372,-0.86,0.0661,49.4
104.306,3.2297,-1.5939,151.023,3.2116,-1.6142,148.847,0.0447,0.1012,-2.177,0.0747,50.3
107.371,2.6285,-1.0446,118.367,2.6205,-1.088,117.068,0.0164,0.0159,-1.298,0.0363,64.6
110.407,2.2479,-0.2972,118.63,2.2366,-0.3582,117.879,-0.0072,-0.0315,-0.751,0.0321,35.3
113.45,1.7422,0.1859,-176.193,1.73,0.1069,-176.388,-0.0129,-0.073,-0.195,0.0241,43.6
116.484,0.8798,0.2124,178.418,0.8784,0.1109,178.38,-0.0015,-0.1009,-0.038,0.0257,33.0
119.54,0.4327,0.2444,174.726,0.4255,0.1282,174.721,-0.0073,-0.1162,-0.005,0.0339,56.1
