elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.153,0.0,0.0,0.0,-0.0121,-0.0114,-0.161,-0.0121,-0.0114,-0.161,0.0277,138.8
6.251,0.0,0.0,0.0,-0.0178,-0.018,-0.264,-0.0178,-0.018,-0.264,0.0319,97.3
9.339,0.0092,0.0,-0.005,-0.0127,-0.0199,-0.28,-0.0219,-0.0199,-0.275,0.0276,87.4
12.451,0.8282,0.0754,5.713,0.8129,0.0658,5.505,-0.0156,-0.0065,-0.208,0.0283,112.0
15.559,1.6443,0.1501,4.268,1.6229,0.1417,3.804,-0.0225,0.0049,-0.465,0.0375,107.9
18.645,2.1332,-0.4092,-59.738,2.1125,-0.4096,-60.083,-0.0181,0.0125,-0.345,0.0368,85.5
21.732,2.5519,-1.1578,-58.31,2.5294,-1.1571,-58.693,-0.0147,0.0178,-0.383,0.0246,86.8
24.856,3.1558,-1.5869,-26.993,3.1456,-1.5617,-28.094,0.0208,0.0855,-1.101,0.0405,123.7
27.957,3.9178,-1.9861,-25.417,3.9043,-1.9593,-26.941,0.0406,0.1303,-1.524,0.0487,101.3
31.045,4.6613,-2.3636,-25.016,4.6557,-2.3519,-26.145,0.0419,0.1031,-1.13,0.0483,87.7
34.145,5.3821,-2.7155,-18.072,5.3873,-2.7139,-19.179,0.0587,0.105,-1.107,0.0599,99.4
37.266,6.0367,-2.3322,38.15,6.0825,-2.3075,37.149,0.0875,0.1298,-1.0,0.038,121.0
40.357,6.6275,-1.8652,53.943,6.6941,-1.8357,52.362,0.1205,0.2116,-1.581,0.0311,91.3
43.467,6.6412,-1.073,94.438,6.7269,-1.0194,93.085,0.1128,0.2101,-1.354,0.0328,109.8
46.55,6.5851,-0.2289,94.235,6.6907,-0.1742,92.882,0.1128,0.2101,-1.354,0.0328,82.2
49.652,6.5317,0.585,94.065,6.6293,0.6772,92.951,0.0875,0.2192,-1.114,0.0529,101.6
52.792,6.4838,1.4255,93.779,6.5587,1.5192,93.421,0.0662,0.1344,-0.358,0.0336,140.6
55.869,6.4758,2.2665,90.67,6.5143,2.3493,90.247,0.0219,0.1306,-0.423,0.0351,76.3
58.966,6.0583,2.7576,162.46,6.0735,2.8376,162.104,-0.0019,0.1178,-0.356,0.037,97.4
62.067,5.2789,3.0261,161.274,5.2781,3.1121,160.622,-0.0349,0.1462,-0.651,0.0564,100.3
65.178,4.5035,3.3023,161.883,4.4887,3.3847,160.93,-0.0691,0.1578,-0.954,0.0555,110.9
68.274,3.696,3.5797,162.713,3.684,3.6493,161.381,-0.0942,0.1565,-1.332,0.0511,95.9
71.367,2.9599,3.7558,-179.22,2.9498,3.8104,-180.786,-0.1116,0.1368,-1.566,0.0373,92.3
74.466,2.1057,3.757,179.791,2.1052,3.8027,178.714,-0.0707,0.0859,-1.077,0.0276,99.4
77.589,1.2881,3.7827,178.11,1.2759,3.8242,177.523,-0.051,0.0549,-0.587,0.022,122.9
80.68,0.4507,3.8391,177.006,0.4363,3.864,176.617,-0.0405,0.028,-0.389,0.0239,90.2
83.794,-0.1682,3.5071,-141.559,-0.1856,3.5095,-141.94,-0.0408,0.0014,-0.382,0.0301,113.6
86.883,-0.8023,3.0609,-173.589,-0.8384,3.0531,-173.325,-0.022,-0.0041,0.264,0.0427,89.2
89.991,-1.3776,3.551,138.993,-1.4225,3.5396,139.176,-0.0337,-0.0071,0.182,0.0269,108.1
93.104,-1.8607,4.1388,91.522,-1.9227,4.12,91.951,-0.0311,-0.0048,0.429,0.0221,112.3
96.205,-1.8689,4.9545,91.214,-1.9464,4.9507,91.179,-0.0805,-0.005,-0.035,0.0188,101.2
99.29,-1.4709,5.5875,42.352,-1.5384,5.5968,41.913,-0.1103,-0.0018,-0.44,0.0231,84.9
102.397,-0.8194,5.899,-11.871,-0.876,5.9098,-12.411,-0.1122,0.0033,-0.54,0.0264,106.8
105.527,-0.0122,5.7294,-8.998,-0.0503,5.7473,-9.634,-0.1017,0.0181,-0.636,0.026,129.6
108.663,0.3012,5.1227,-85.776,0.2684,5.1474,-86.324,-0.0818,0.0278,-0.548,0.0221,135.5
111.704,0.3503,4.3747,-86.462,0.3239,4.3913,-87.114,-0.0762,0.0209,-0.652,0.0226,40.6
114.797,0.2786,3.6182,-141.048,0.2469,3.6289,-140.864,-0.0201,0.0098,0.184,0.0244,93.5
117.915,-0.3952,3.165,-147.887,-0.4308,3.1567,-147.99,-0.0413,-0.009,-0.104,0.0319,117.6
121.006,-0.6885,2.5299,-87.797,-0.7231,2.5334,-87.73,-0.0317,0.0043,0.067,0.0547,91.1
124.092,-0.6726,1.7194,-88.802,-0.686,1.727,-88.669,-0.0094,0.0092,0.134,0.0569,85.2
127.189,-0.2997,1.0333,-53.432,-0.3063,1.0495,-53.428,-0.0065,0.0161,0.004,0.0359,97.2
130.307,0.1797,0.3632,-52.059,0.1785,0.3816,-52.144,-0.0018,0.0187,-0.085,0.0261,117.3
133.405,0.3534,0.148,-50.416,0.3613,0.1653,-50.794,0.0069,0.0196,-0.378,0.0365,98.1
136.519,0.3534,0.148,-50.411,0.367,0.1658,-50.987,0.0122,0.0214,-0.576,0.0372,113.8
139.611,0.3534,0.148,-50.422,0.37,0.1645,-51.029,0.015,0.0203,-0.607,0.0351,92.4
