elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.136,0.0,0.0,-0.011,-0.0066,-0.006,-0.407,-0.0066,-0.006,-0.396,0.0343,121.2
6.203,0.0,0.0,-0.049,-0.0119,-0.0083,-0.398,-0.0119,-0.0083,-0.348,0.0327,67.0
9.366,0.0,0.0,-0.088,-0.0145,-0.0119,-0.308,-0.0145,-0.0119,-0.221,0.0325,162.9
12.414,0.0,0.0,-0.132,-0.0145,-0.0123,-0.395,-0.0145,-0.0123,-0.264,0.0333,47.5
15.456,0.0,0.0,-0.17,-0.0151,-0.0137,-0.464,-0.0151,-0.0137,-0.294,0.0321,40.9
18.513,0.0,0.0,-0.214,-0.0154,-0.0118,-0.462,-0.0154,-0.0118,-0.247,0.0327,57.2
21.551,0.0,0.0,-0.253,-0.0155,-0.0104,-0.451,-0.0155,-0.0104,-0.198,0.0326,37.7
24.608,0.0,0.0,-0.297,-0.0147,-0.0094,-0.488,-0.0147,-0.0094,-0.191,0.0342,56.7
27.652,0.0,0.0,-0.335,-0.0154,-0.0122,-0.565,-0.0154,-0.0122,-0.23,0.0322,43.7
30.706,0.0,0.0,-0.368,-0.0153,-0.0106,-0.505,-0.0153,-0.0106,-0.137,0.0325,53.5
33.762,0.0,0.0,-0.406,-0.0152,-0.0084,-0.594,-0.0152,-0.0084,-0.187,0.0348,55.9
36.796,0.0,0.0,-0.456,-0.0145,-0.0089,-0.677,-0.0145,-0.0089,-0.221,0.0329,34.2
39.845,0.0,0.0,-0.489,-0.015,-0.0091,-0.663,-0.015,-0.0091,-0.175,0.0318,49.1
43.415,0.0,0.0,-0.533,-0.0148,-0.0099,-0.68,-0.0148,-0.0099,-0.147,0.0313,569.1
46.492,0.0,0.0003,-0.582,-0.0135,-0.0087,-0.842,-0.0135,-0.009,-0.259,0.0336,76.6
49.551,0.0,0.0003,-0.643,-0.0143,-0.0096,-0.827,-0.0143,-0.0099,-0.184,0.0322,58.9
52.604,0.0,0.0003,-0.709,-0.0138,-0.0077,-0.968,-0.0138,-0.008,-0.26,0.0342,52.6
