elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.118,0.0,0.0,0.011,-0.0072,-0.0095,-0.061,-0.0072,-0.0095,-0.072,0.0224,78.5
6.251,0.0,0.0,0.0,-0.0114,-0.0147,0.021,-0.0114,-0.0147,0.021,0.0208,133.1
9.43,0.0,0.0,0.005,-0.0131,-0.0174,0.031,-0.0131,-0.0174,0.025,0.0204,178.5
12.519,0.0,0.0,-0.005,-0.0126,-0.0163,-0.087,-0.0126,-0.0163,-0.081,0.0219,88.6
15.654,0.0,0.0,0.0,-0.0137,-0.0191,-0.126,-0.0137,-0.0191,-0.126,0.0205,134.5
18.781,0.0,0.0,0.0,-0.0124,-0.0184,-0.241,-0.0124,-0.0184,-0.241,0.0267,127.3
21.931,0.1932,0.036,17.43,0.1826,0.0225,17.095,-0.0107,-0.0124,-0.335,0.0311,149.1
25.062,1.0123,0.2899,16.172,1.0062,0.2865,15.986,-0.0071,-0.0001,-0.186,0.0313,130.6
28.2,1.8192,0.5176,15.123,1.8171,0.5216,14.643,-0.0063,0.0192,-0.48,0.04,138.4
31.318,2.2015,1.1734,69.296,2.1854,1.1952,69.236,-0.0174,0.0241,-0.06,0.0225,117.9
34.458,2.6572,1.7416,1.011,2.6337,1.7702,1.257,-0.0159,0.0171,0.246,0.0182,139.1
37.59,3.4991,1.7487,1.192,3.4744,1.7878,0.989,-0.0309,0.0515,-0.203,0.0149,131.8
40.699,4.2474,1.8964,51.273,4.23,1.9485,51.412,-0.0129,0.0419,0.139,0.014,108.9
43.842,4.7986,2.5485,47.477,4.7888,2.592,46.938,-0.0336,0.0887,-0.539,0.0604,142.7
46.969,4.7903,3.1714,155.347,4.7872,3.2102,154.233,-0.0639,0.1325,-1.113,0.0676,127.5
50.108,4.0161,3.4082,167.459,4.0066,3.4417,166.307,-0.0772,0.115,-1.152,0.0543,138.1
53.234,3.2001,3.6118,166.761,3.1866,3.6359,165.214,-0.1098,0.1119,-1.548,0.0418,125.7
56.342,2.4042,3.7979,178.264,2.4123,3.8026,177.1,-0.0686,0.0543,-1.164,0.0312,108.1
59.485,1.5353,3.8052,179.214,1.5314,3.8052,178.468,-0.0533,0.0203,-0.747,0.0209,143.2
62.604,0.6769,3.8348,178.918,0.6662,3.8225,178.54,-0.036,-0.0078,-0.378,0.0236,118.1
65.725,0.2982,4.3433,93.054,0.2888,4.3227,92.589,-0.0446,-0.018,-0.465,0.024,121.2
68.84,0.2466,5.1971,94.015,0.2366,5.1812,93.613,-0.0464,-0.0141,-0.402,0.0244,114.7
72.004,0.0244,5.9024,164.152,0.0171,5.895,163.327,-0.0922,-0.0065,-0.825,0.0252,163.5
75.11,-0.8282,5.9375,179.126,-0.8528,5.94,178.142,-0.1268,-0.0109,-0.985,0.0272,106.6
78.239,-1.4505,5.5737,-136.697,-1.4975,5.5629,-137.956,-0.1698,-0.0414,-1.259,0.0223,128.3
81.345,-1.9031,4.9631,-88.335,-1.9739,4.937,-89.43,-0.166,-0.0616,-1.095,0.0208,106.2
84.479,-1.8683,4.1342,-86.99,-1.9452,4.0858,-87.64,-0.124,-0.0693,-0.651,0.0221,133.6
87.607,-1.3745,3.6206,-40.715,-1.4329,3.5615,-41.482,-0.1069,-0.0771,-0.766,0.0275,127.4
90.725,-0.8221,3.1284,-71.114,-0.8619,3.0576,-71.715,-0.0726,-0.0792,-0.6,0.0434,117.8
93.844,-0.6339,2.2922,-75.97,-0.6587,2.2406,-76.308,-0.0383,-0.0552,-0.338,0.0516,119.5
96.959,-0.4541,1.4481,-77.909,-0.4676,1.4095,-78.353,-0.0247,-0.042,-0.444,0.0316,114.1
100.095,-0.1837,0.7343,-25.406,-0.1922,0.696,-26.243,-0.0192,-0.0409,-0.837,0.0292,136.4
103.228,0.5728,0.3766,-22.203,0.5698,0.3411,-22.979,-0.008,-0.0277,-0.775,0.0293,132.8
106.351,0.585,-0.1672,-171.431,0.5763,-0.1949,-171.646,-0.008,-0.0255,-0.216,0.0271,122.5
109.456,0.2594,-0.0259,137.362,0.2652,-0.0446,136.753,0.0061,-0.0159,-0.609,0.0375,105.0
112.57,0.2594,-0.0259,137.4,0.2678,-0.0398,136.92,0.0086,-0.0117,-0.481,0.0339,114.1
115.719,0.2594,-0.0259,137.439,0.2716,-0.0402,136.806,0.0125,-0.0114,-0.633,0.0334,148.3
