elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.166,0.0,0.0,0.011,-0.0083,-0.0091,-0.08,-0.0083,-0.0091,-0.091,0.0234,143.9
6.19,0.0,0.0,0.022,-0.0106,-0.013,-0.068,-0.0106,-0.013,-0.09,0.0225,21.6
9.268,0.0,0.0,0.027,-0.0123,-0.0154,-0.086,-0.0123,-0.0154,-0.113,0.0243,78.5
12.347,0.0,0.0,0.049,-0.0116,-0.0168,-0.108,-0.0116,-0.0168,-0.158,0.0248,78.5
15.418,0.3613,0.087,15.639,0.3522,0.077,15.427,-0.0095,-0.0087,-0.212,0.0336,70.9
18.846,1.1478,0.2969,15.612,1.1393,0.2918,15.047,-0.0113,0.0062,-0.565,0.0388,427.4
22.013,1.6541,0.4318,14.76,1.6524,0.433,14.44,-0.004,0.0104,-0.321,0.0342,166.8
25.075,1.8839,0.6744,59.93,1.8864,0.6895,59.828,0.0014,0.0184,-0.102,0.0434,61.3
28.141,1.8839,0.6744,59.947,1.8883,0.6948,59.964,0.0047,0.0198,0.017,0.0378,65.7
31.225,2.2543,1.3217,58.623,2.24,1.3511,59.035,-0.0047,0.0132,0.412,0.0237,84.1
34.284,2.756,1.7035,5.878,2.7331,1.743,6.257,-0.0116,0.0213,0.38,0.0215,59.2
37.35,3.5858,1.8521,9.893,3.564,1.8989,9.925,-0.0208,0.0448,0.032,0.0131,65.1
40.427,4.2865,1.9897,36.903,4.2646,2.0432,35.892,-0.0564,0.1295,-1.011,0.0175,76.6
43.503,4.4138,2.095,47.774,4.3775,2.1559,46.728,-0.0737,0.1418,-1.046,0.0164,75.8
46.565,4.4336,2.1127,47.384,4.3864,2.1766,46.22,-0.0892,0.1544,-1.164,0.0211,61.9
49.623,4.4385,2.1167,46.73,4.3873,2.1823,45.477,-0.0965,0.1633,-1.254,0.0194,57.4
52.688,4.4409,2.1188,46.313,4.3875,2.1848,45.032,-0.0997,0.1658,-1.281,0.0211,65.2
55.754,4.4427,2.1207,46.412,4.388,2.1869,45.055,-0.1037,0.172,-1.356,0.0201,65.3
58.833,4.4431,2.1207,46.434,4.3862,2.1864,44.81,-0.1151,0.1925,-1.623,0.0237,78.9
61.895,4.4431,2.121,46.439,4.3869,2.187,44.946,-0.1099,0.1825,-1.493,0.0204,62.1
65.069,4.4431,2.121,46.45,4.383,2.1867,44.754,-0.1209,0.1981,-1.696,0.0244,173.7
68.133,4.4431,2.121,46.456,4.3854,2.1868,44.957,-0.1116,0.1827,-1.499,0.0208,63.6
71.199,4.4431,2.121,46.461,4.3853,2.1873,44.975,-0.1113,0.1823,-1.486,0.0207,65.8
74.241,4.4431,2.121,46.467,4.3879,2.1873,45.019,-0.1073,0.1793,-1.447,0.0198,42.1
77.313,4.4431,2.121,46.467,4.3912,2.1875,45.158,-0.0992,0.1685,-1.309,0.018,71.1
80.358,4.4431,2.121,46.472,4.3898,2.1875,45.25,-0.0975,0.1618,-1.223,0.0175,45.7
83.415,4.4431,2.121,46.483,4.3881,2.187,45.177,-0.1021,0.1679,-1.306,0.0204,56.0
86.493,4.4431,2.121,46.489,4.3892,2.1874,45.075,-0.1049,0.1767,-1.414,0.0212,78.5
89.532,4.4431,2.121,46.494,4.3909,2.1875,45.206,-0.0987,0.1669,-1.288,0.0179,38.9
