elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.077,0.0,0.0,0.0,-0.0248,-0.0038,-0.377,-0.0248,-0.0038,-0.377,0.0417,53.2
6.152,0.0,0.0,0.005,-0.0352,-0.0053,-0.519,-0.0352,-0.0053,-0.524,0.0413,75.3
9.217,0.0,0.0,0.005,-0.0239,-0.0122,-0.324,-0.0239,-0.0122,-0.329,0.0229,64.3
12.29,0.0,0.0,0.022,-0.0197,-0.0158,-0.207,-0.0197,-0.0158,-0.229,0.0217,72.8
15.369,0.7764,0.1785,13.425,0.7611,0.1663,13.039,-0.0164,-0.007,-0.386,0.0296,79.1
18.451,1.2729,0.5948,97.992,1.2616,0.5905,97.655,-0.0148,0.0032,-0.337,0.0241,81.8
21.48,1.181,1.423,96.559,1.1824,1.436,96.256,-0.0061,0.0192,-0.303,0.0209,28.8
24.555,0.9653,2.139,159.571,0.9494,2.162,158.682,-0.049,0.0382,-0.889,0.0201,73.9
27.621,0.1529,2.1259,-178.973,0.1256,2.1463,-179.576,-0.0496,0.0222,-0.604,0.0199,66.5
30.701,-0.5792,1.9995,-124.118,-0.6229,2.0067,-125.389,-0.0882,-0.0052,-1.271,0.0338,79.8
33.773,-0.4129,1.2173,-70.741,-0.4655,1.2154,-71.502,-0.0688,-0.0073,-0.761,0.0207,71.4
36.833,0.2454,1.0208,4.559,0.2072,1.0162,4.045,-0.0473,-0.0023,-0.514,0.0275,59.6
39.884,0.8469,0.7593,-93.362,0.8126,0.7531,-93.645,-0.038,-0.002,-0.283,0.0338,51.0
42.944,0.6085,0.173,-109.023,0.5814,0.1666,-109.132,-0.0275,-0.0052,-0.109,0.0249,59.5
46.014,0.6085,0.173,-109.017,0.5866,0.1645,-109.077,-0.0221,-0.0079,-0.059,0.0236,70.1
