elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.068,0.0,0.0,0.0,-0.0076,-0.0129,-0.005,-0.0076,-0.0129,-0.005,0.0215,52.4
6.169,0.0,0.0,0.0,-0.0111,-0.0179,0.002,-0.0111,-0.0179,0.002,0.0221,100.8
9.291,0.5832,0.0,-0.209,0.5556,-0.0134,-0.32,-0.0276,-0.0122,-0.111,0.0267,121.1
12.41,1.4093,-0.0031,0.593,1.3628,-0.0139,0.002,-0.0464,0.0037,-0.591,0.0427,119.3
15.501,2.2559,0.0079,1.851,2.2069,0.0213,1.8,-0.049,0.0153,-0.051,0.0391,90.3
