elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.118,0.0,0.0,0.005,-0.0115,-0.0032,-0.287,-0.0115,-0.0032,-0.293,0.0347,79.6
6.267,0.0,0.0,0.022,-0.018,-0.0056,-0.449,-0.018,-0.0056,-0.471,0.038,148.5
9.383,0.5014,0.1224,14.469,0.4885,0.1154,14.144,-0.0136,-0.0041,-0.325,0.0291,115.6
12.534,1.3196,0.3537,15.491,1.3103,0.3515,14.822,-0.0133,0.0132,-0.669,0.0393,150.9
15.669,1.9348,0.7645,61.518,1.9318,0.7705,60.835,-0.012,0.0292,-0.683,0.0319,134.7
18.809,2.3477,1.506,59.172,2.3343,1.5301,58.888,-0.0209,0.0358,-0.284,0.0155,140.5
21.956,3.0548,1.8045,9.333,3.0106,1.834,8.8,-0.0609,0.058,-0.532,0.0225,146.4
25.08,3.8806,1.9418,9.47,3.8443,1.9742,8.478,-0.0693,0.0999,-0.992,0.0239,123.8
28.219,4.5758,2.2711,49.598,4.5445,2.3037,48.278,-0.0824,0.1386,-1.32,0.0399,138.8
31.353,5.0644,2.8824,77.591,5.0654,2.8998,76.087,-0.0729,0.1513,-1.503,0.0384,133.5
34.488,4.548,3.3823,168.327,4.5595,3.4129,166.887,-0.0721,0.146,-1.44,0.0592,134.2
37.619,3.6975,3.5645,168.656,3.7119,3.5944,167.208,-0.0745,0.1246,-1.449,0.0537,131.6
40.807,3.364,3.6411,156.044,3.37,3.6629,154.438,-0.0947,0.1175,-1.606,0.0438,187.8
43.87,2.8247,3.7766,169.288,2.8472,3.7872,167.998,-0.0618,0.0752,-1.291,0.0351,61.9
46.992,2.0041,3.8553,-178.275,2.0244,3.857,-179.233,-0.0439,0.0357,-0.958,0.0273,121.9
50.123,1.1392,3.8431,-179.17,1.151,3.8423,-179.735,-0.026,0.0106,-0.564,0.0229,130.6
53.63,0.2905,3.8461,-179.429,0.2975,3.833,-180.078,-0.0366,-0.0096,-0.649,0.0246,506.7
56.809,-0.3534,3.4195,-136.813,-0.3557,3.3862,-137.285,-0.0304,-0.0361,-0.472,0.0328,179.3
59.935,-0.8032,2.8229,-80.7,-0.8145,2.7963,-81.01,-0.0266,-0.0308,-0.31,0.0461,125.2
63.067,-0.6274,1.9797,-77.981,-0.6158,1.958,-78.199,0.0041,-0.024,-0.218,0.0575,132.4
66.203,-0.3717,1.2183,-32.289,-0.3582,1.2013,-33.167,-0.0052,-0.0225,-0.878,0.0436,135.3
69.327,0.369,0.7513,-30.525,0.384,0.7374,-31.099,0.0076,-0.0102,-0.573,0.0258,123.6
72.464,0.8463,0.2179,-106.155,0.856,0.1986,-107.05,0.0064,-0.0061,-0.895,0.0338,136.7
75.597,0.3281,0.0186,-175.127,0.339,0.013,-175.724,0.0108,-0.0022,-0.597,0.0304,133.4
