elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
0.617,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
0.62,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
0.742,0.0,0.0,-0.0055,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0977
0.745,0.0,0.0,-0.0055,-0.007343,-0.01938,0.0868,-0.007343,-0.01938,0.0923
0.821,0.0,0.0,0.0,-0.007343,-0.01938,0.0868,-0.007343,-0.01938,0.0868
0.825,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
0.923,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
0.94,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.033,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.035,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.126,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.13,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.227,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.231,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.329,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.331,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.433,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.437,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.533,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.536,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.634,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.637,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.736,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.742,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.838,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.841,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.947,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
1.95,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.04,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.043,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.142,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.147,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.247,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.249,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.348,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.358,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.447,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.45,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.549,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.556,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.649,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.656,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.751,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.754,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.854,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.858,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.953,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
2.956,0.0,0.0,0.0,-0.007343,-0.01938,0.0922,-0.007343,-0.01938,0.0922
