elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.151,0.0,0.0,0.0,-0.0114,-0.014,-0.063,-0.0114,-0.014,-0.063,0.0282,138.5
6.224,0.0,0.0,0.0,-0.0136,-0.01,-0.22,-0.0136,-0.01,-0.22,0.0288,73.1
9.311,0.2383,0.0549,18.435,0.2264,0.0409,18.025,-0.0124,-0.0123,-0.41,0.0295,86.7
12.413,0.9531,0.3625,59.656,0.9319,0.3369,57.807,-0.0324,0.0053,-1.849,0.0319,101.9
15.498,0.7422,1.0428,147.392,0.7507,1.0292,145.82,-0.0199,0.0072,-1.572,0.0418,84.5
18.608,-0.0406,1.3281,161.828,-0.0494,1.3239,161.136,-0.0248,-0.0046,-0.692,0.0314,109.4
21.696,-0.7013,1.7053,104.848,-0.7026,1.699,104.79,-0.003,-0.007,-0.058,0.0633,87.9
24.783,-0.7233,2.5366,92.071,-0.7533,2.5181,91.741,-0.0446,-0.0227,-0.33,0.0372,86.9
27.894,-0.5133,3.2468,32.476,-0.5448,3.2026,32.497,-0.0303,-0.044,0.021,0.0339,111.3
30.975,0.1312,3.7372,35.458,0.1029,3.6969,35.207,-0.0447,-0.0396,-0.251,0.0288,80.7
34.076,0.9247,3.8577,3.257,0.8993,3.8263,3.085,-0.037,-0.0287,-0.172,0.0224,100.7
37.167,1.7633,3.9056,3.049,1.7502,3.8824,2.839,-0.0274,-0.0168,-0.21,0.0192,91.1
40.275,2.6205,3.9569,3.351,2.6165,3.9339,2.841,-0.0391,0.0004,-0.51,0.0298,107.2
43.378,3.3701,3.8,-18.012,3.3607,3.7872,-19.291,-0.0933,0.0633,-1.279,0.0431,103.5
46.466,4.1959,3.5208,-17.633,4.1773,3.522,-19.049,-0.1043,0.106,-1.416,0.0641,87.8
49.551,4.9927,3.2541,-16.935,4.9725,3.2699,-18.098,-0.0852,0.1178,-1.163,0.0543,84.1
52.658,5.8142,2.9663,-17.979,5.7972,2.9874,-18.619,-0.0498,0.0862,-0.64,0.0441,107.8
55.754,6.3879,2.5409,-85.864,6.3824,2.5748,-85.95,-0.0093,0.0436,-0.087,0.031,95.9
58.859,6.4423,1.6946,-85.43,6.4535,1.7419,-85.516,0.0087,0.0569,-0.086,0.0223,104.8
61.963,6.4972,0.8722,-85.605,6.5283,0.9349,-85.885,0.0269,0.0945,-0.28,0.0326,103.0
65.038,6.5543,0.0269,-85.688,6.6393,0.0989,-86.887,0.0859,0.2092,-1.2,0.0415,75.2
68.134,6.6052,-0.7977,-85.957,6.6755,-0.7465,-86.914,0.0845,0.1614,-0.957,0.0276,95.9
71.232,6.6541,-1.6248,-85.583,6.7207,-1.5944,-86.485,0.0931,0.1348,-0.901,0.023,97.8
74.335,6.8311,-2.3514,-30.059,6.8979,-2.3327,-31.102,0.1108,0.1427,-1.043,0.0313,102.5
77.428,7.5677,-2.7249,-25.818,7.654,-2.6946,-26.665,0.1274,0.1419,-0.847,0.0456,93.3
80.528,8.3301,-3.1281,-26.208,8.4246,-3.0817,-26.69,0.1212,0.1163,-0.482,0.0485,99.6
83.613,8.9905,-3.1891,51.015,9.0926,-3.1244,50.323,0.1413,0.1731,-0.692,0.0499,84.9
86.706,9.3106,-2.5586,119.432,9.4224,-2.4886,118.446,0.1573,0.2299,-0.986,0.0377,93.1
89.801,8.548,-2.4484,-176.44,8.6583,-2.3702,-177.538,0.1588,0.2416,-1.098,0.0544,94.9
92.891,7.692,-2.4985,-176.369,7.8046,-2.4167,-177.358,0.1569,0.2141,-0.989,0.0518,89.0
95.985,6.8573,-2.5436,-176.55,6.9554,-2.4724,-177.302,0.1321,0.161,-0.752,0.0343,94.2
99.086,6.0028,-2.5769,-177.308,6.1007,-2.5194,-177.978,0.1284,0.1275,-0.67,0.0301,100.6
102.174,5.1669,-2.6007,-178.566,5.2579,-2.5682,-179.12,0.1163,0.0823,-0.554,0.0334,88.2
105.293,4.3945,-2.5201,147.096,4.4594,-2.5017,146.671,0.0837,0.051,-0.425,0.0498,119.2
108.378,3.717,-2.0309,146.014,3.7613,-2.0189,145.119,0.0764,0.0699,-0.894,0.062,84.9
111.462,3.0325,-1.5521,146.942,3.079,-1.5365,146.263,0.065,0.0514,-0.679,0.0652,83.8
114.556,2.4258,-1.0577,111.451,2.4623,-1.0442,110.766,0.0493,0.0425,-0.685,0.0502,94.0
117.651,2.1542,-0.2747,110.967,2.1869,-0.2628,110.494,0.035,0.0297,-0.473,0.039,94.7
120.756,1.5863,0.0629,-175.534,1.6152,0.0677,-175.934,0.0285,0.0159,-0.401,0.0327,104.2
123.846,0.766,0.0162,-176.556,0.789,0.0102,-176.771,0.0229,-0.0031,-0.215,0.0256,89.9
126.945,0.3159,0.0079,-178.846,0.3298,-0.0071,-179.114,0.0139,-0.0136,-0.268,0.0308,99.3
130.031,0.3159,0.0079,-178.846,0.3255,-0.0097,-179.027,0.0096,-0.0167,-0.181,0.0332,85.2
133.132,0.3159,0.0079,-178.852,0.3227,-0.0112,-178.945,0.0068,-0.0186,-0.093,0.0315,101.0
