elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.083,0.0,0.0,0.0,-0.0081,-0.012,0.03,-0.0081,-0.012,0.03,0.0208,71.5
6.195,0.0,0.0,-0.016,-0.0127,-0.0166,-0.016,-0.0127,-0.0166,0.0,0.0209,112.0
9.332,0.3781,0.0668,11.558,0.3607,0.0514,11.126,-0.0179,-0.0125,-0.432,0.0409,137.0
12.444,1.2155,0.246,10.129,1.1862,0.2312,9.597,-0.0315,-0.0034,-0.533,0.0401,105.8
15.549,1.7847,0.7535,45.769,1.7605,0.7477,45.567,-0.0268,0.0006,-0.202,0.0336,105.6
18.654,2.3734,1.3715,43.791,2.3239,1.3662,44.142,-0.041,-0.0197,0.35,0.026,104.6
21.778,3.1097,1.629,9.728,3.038,1.6243,9.921,-0.0662,-0.0151,0.192,0.0178,123.2
24.908,3.9194,1.7737,9.108,3.8342,1.7688,8.918,-0.0911,0.0081,-0.19,0.013,129.8
28.016,4.5514,2.2437,40.133,4.4441,2.2348,39.162,-0.1446,0.0686,-0.971,0.0241,108.3
31.113,5.199,2.8067,38.666,5.1013,2.7714,37.796,-0.1397,0.044,-0.871,0.0621,96.7
34.267,5.9656,2.9605,3.549,5.8602,2.9212,2.856,-0.1407,0.033,-0.692,0.0487,153.4
37.366,6.741,2.9489,-30.465,6.6343,2.8927,-30.801,-0.1239,-0.0167,-0.336,0.0458,98.3
40.496,6.846,2.1426,-92.56,6.7391,2.111,-92.689,-0.1117,-0.0161,-0.129,0.0286,130.1
43.593,6.8005,1.3022,-92.862,6.7212,1.2987,-92.562,-0.0724,-0.0391,0.3,0.0175,97.2
46.703,6.7465,0.4459,-93.73,6.7296,0.4582,-94.121,-0.0199,0.0584,-0.391,0.0572,109.6
49.848,6.6867,-0.4208,-93.631,6.6783,-0.4073,-94.656,0.0002,0.1331,-1.025,0.0489,144.8
52.953,6.6379,-1.2631,-92.785,6.6197,-1.2582,-94.034,0.0109,0.1493,-1.249,0.037,104.3
56.061,6.5988,-2.1307,-91.78,6.5595,-2.1237,-92.716,-0.0036,0.1146,-0.937,0.0401,108.5
59.178,6.2674,-2.7228,178.248,6.2239,-2.7039,178.041,-0.0336,0.0415,-0.207,0.0318,116.3
62.3,5.4181,-2.6459,176.457,5.3868,-2.6381,176.295,-0.0238,0.0231,-0.161,0.0348,121.7
65.412,4.646,-2.435,148.442,4.6105,-2.4465,148.365,-0.0322,-0.0053,-0.077,0.0539,112.6
68.537,3.9008,-1.965,150.046,3.8619,-1.9982,149.551,-0.0217,0.0004,-0.494,0.0617,124.5
71.643,3.1699,-1.5265,151.688,3.1442,-1.5551,151.29,-0.015,-0.0066,-0.398,0.0611,105.9
74.769,2.6248,-0.9811,116.367,2.6017,-1.0024,116.211,-0.0205,-0.0141,-0.156,0.0516,125.1
77.902,2.2318,-0.199,119.641,2.2056,-0.2454,119.647,-0.0262,-0.0467,0.006,0.0355,132.8
81.013,1.611,0.1776,178.797,1.5987,0.0939,178.937,-0.0119,-0.0876,0.14,0.0244,111.5
84.123,0.769,0.2277,177.654,0.7675,0.1207,177.877,-0.0006,-0.1099,0.222,0.0276,109.6
