elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.143,0.0,0.0,-0.005,-0.0125,-0.0195,-0.162,-0.0125,-0.0195,-0.156,0.026,136.1
6.29,0.3967,0.0967,15.068,0.3959,0.0886,14.622,-0.0016,-0.005,-0.446,0.0391,146.9
9.447,0.9723,0.2527,16.831,0.9691,0.2604,16.585,-0.0043,0.0119,-0.246,0.0302,156.2
12.595,1.2454,0.3265,12.211,1.243,0.33,11.371,-0.0071,0.0218,-0.841,0.0397,148.7
15.714,1.8872,0.7092,61.545,1.8854,0.737,61.224,-0.0058,0.0384,-0.322,0.035,118.0
18.883,2.3175,1.4355,57.75,2.2742,1.4771,56.991,-0.0622,0.0724,-0.759,0.0257,169.0
22.014,2.9971,1.7746,9.564,2.964,1.8168,9.119,-0.0468,0.0655,-0.445,0.0183,130.9
25.162,3.8449,1.9189,9.789,3.822,1.9661,8.021,-0.0803,0.1667,-1.768,0.0253,147.8
28.304,4.5358,2.2357,50.191,4.4945,2.2969,49.179,-0.0801,0.1416,-1.012,0.0308,141.4
31.454,5.0577,2.793,61.287,5.0749,2.8085,59.153,-0.0833,0.2058,-2.134,0.0525,150.1
34.596,4.6396,3.3459,160.054,4.6436,3.3798,159.0,-0.0568,0.1198,-1.054,0.0636,141.8
37.798,4.3652,3.4036,168.893,4.3547,3.4375,168.233,-0.0494,0.0843,-0.659,0.0526,201.6
40.903,3.6972,3.5681,167.025,3.7093,3.5788,165.686,-0.0703,0.0981,-1.339,0.0528,104.0
44.045,2.8549,3.7711,168.398,2.875,3.7544,167.303,-0.0514,0.0386,-1.095,0.0377,142.4
47.201,2.0682,3.8861,-178.209,2.0847,3.8598,-178.329,0.0084,-0.022,-0.12,0.029,155.1
50.228,1.2659,3.8858,179.632,1.2512,3.8674,179.75,-0.0067,-0.021,0.118,0.0216,27.6
53.388,0.4855,3.8812,-177.034,0.4736,3.8394,-177.184,-0.0221,-0.0406,-0.15,0.022,158.8
56.522,0.3461,3.8791,178.616,0.3323,3.8399,178.249,-0.0386,-0.0369,-0.367,0.0253,134.3
59.547,-0.2704,3.486,-138.977,-0.2731,3.415,-138.985,-0.0032,-0.0711,-0.008,0.0316,24.9
62.708,-0.8081,2.9434,-95.806,-0.8271,2.9057,-96.393,-0.0492,-0.0458,-0.587,0.0415,160.1
65.867,-0.6467,2.1078,-77.36,-0.6152,2.0764,-77.586,0.0232,-0.034,-0.226,0.0532,158.9
69.02,-0.5008,1.3245,-54.816,-0.4731,1.2896,-55.372,0.0148,-0.0397,-0.555,0.0477,152.4
72.195,0.2161,0.8475,-30.421,0.2595,0.8309,-30.424,0.0434,-0.0166,-0.003,0.0353,174.6
75.346,0.8157,0.3448,-78.426,0.8313,0.3214,-78.947,0.0124,-0.0161,-0.521,0.0403,151.0
78.377,0.3137,0.0253,-176.88,0.3198,0.0056,-177.245,0.006,-0.0177,-0.366,0.0375,31.1
