elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.188,0.0,0.0,0.0,-0.0072,-0.0098,-0.004,-0.0072,-0.0098,-0.004,0.024,158.9
6.295,0.0,0.0,0.027,-0.011,-0.0124,-0.082,-0.011,-0.0124,-0.11,0.0228,107.3
9.426,0.4315,0.0668,8.152,0.421,0.0579,8.034,-0.0106,-0.008,-0.118,0.0301,131.0
12.533,1.2482,0.1926,7.916,1.2455,0.1885,7.549,-0.0038,0.0039,-0.366,0.0373,106.6
15.643,1.9226,-0.0052,-67.429,1.9162,-0.0048,-67.804,-0.0064,0.013,-0.375,0.0292,109.7
18.753,2.2739,-0.752,-63.188,2.2583,-0.7508,-63.498,-0.0114,0.0134,-0.31,0.0226,110.0
21.876,2.5919,-1.4798,-96.943,2.5841,-1.4727,-96.461,-0.0201,-0.0147,0.482,0.0267,122.6
24.999,2.1475,-2.1948,-123.964,2.168,-2.1329,-123.754,0.0124,0.0541,0.21,0.0857,123.2
28.106,1.7258,-2.8745,-123.53,1.7327,-2.8495,-123.547,0.0078,0.0255,-0.017,0.0432,106.1
31.256,1.47,-3.5892,-98.547,1.474,-3.5799,-98.37,-0.0071,0.0047,0.178,0.054,150.1
34.34,1.3495,-4.4,-98.234,1.3579,-4.4099,-98.472,0.0267,-0.0043,-0.238,0.0646,83.8
37.451,1.2442,-5.1859,-105.837,1.259,-5.2068,-106.278,0.0547,-0.0116,-0.441,0.0582,111.4
40.583,0.6342,-5.2908,179.786,0.6616,-5.2918,179.193,0.0822,0.0053,-0.593,0.0346,131.1
43.686,-0.1917,-5.3046,179.78,-0.1739,-5.3176,179.482,0.0454,-0.0141,-0.298,0.0642,103.4
46.809,-0.6927,-5.5194,-75.657,-0.6808,-5.5411,-76.037,0.0485,-0.0264,-0.38,0.0476,122.7
49.919,-0.1074,-5.6161,-3.73,-0.0895,-5.6458,-4.246,0.0685,-0.0308,-0.516,0.0594,109.6
53.013,0.751,-5.6601,-1.39,0.7737,-5.6938,-2.223,0.105,-0.0233,-0.833,0.0522,93.8
56.126,1.261,-5.2829,82.271,1.2909,-5.3158,81.621,0.0899,-0.0189,-0.65,0.0552,112.6
59.235,1.4252,-4.4543,78.256,1.4549,-4.4742,77.509,0.088,-0.0016,-0.747,0.0688,109.5
62.344,1.59,-3.6319,78.821,1.6196,-3.6334,78.107,0.075,0.018,-0.714,0.0693,107.9
65.467,1.7624,-2.8287,77.684,1.7924,-2.7993,76.246,0.1016,0.0727,-1.439,0.0546,122.9
68.559,2.2711,-2.2482,38.639,2.3056,-2.2489,37.532,0.0783,0.0428,-1.107,0.0374,91.7
71.682,2.8677,-1.7493,37.667,2.8695,-1.7587,35.651,0.0651,0.0903,-2.015,0.0678,123.2
74.791,3.5965,-1.976,-27.323,3.6026,-2.0069,-28.843,0.0598,0.0638,-1.52,0.0418,108.6
77.89,4.328,-2.3862,-26.268,4.3371,-2.4276,-27.505,0.0616,0.0514,-1.236,0.0538,99.3
81.023,5.1212,-2.475,-0.593,5.1633,-2.5054,-1.85,0.0977,0.0813,-1.257,0.029,132.4
84.118,5.9216,-2.4997,2.368,5.9601,-2.5415,1.092,0.0956,0.0893,-1.275,0.0562,95.2
87.223,6.4792,-1.947,49.647,6.5421,-1.9661,48.464,0.1045,0.1143,-1.183,0.0225,104.7
