elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.16,0.0003,0.0,-0.115,-0.0084,-0.0089,-0.133,-0.0087,-0.0089,-0.018,0.0247,135.8
6.289,0.0003,0.0,-0.115,-0.0111,-0.0123,-0.21,-0.0114,-0.0123,-0.095,0.0248,128.2
9.323,0.0003,0.0,-0.121,-0.0138,-0.0145,-0.231,-0.0141,-0.0145,-0.11,0.0244,34.4
12.485,0.0003,0.0,-0.132,-0.0151,-0.0148,-0.244,-0.0154,-0.0148,-0.112,0.0246,161.6
15.65,0.0003,0.0,-0.132,-0.0152,-0.0154,-0.262,-0.0155,-0.0154,-0.13,0.0243,164.8
