elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.071,0.0,0.0,0.016,-0.0103,-0.0069,-0.025,-0.0103,-0.0069,-0.041,0.0284,64.9
6.14,0.0,0.0,0.033,-0.0136,-0.0116,-0.155,-0.0136,-0.0116,-0.188,0.0249,68.4
9.203,0.6775,0.1526,12.519,0.6635,0.1446,12.356,-0.0144,-0.0061,-0.163,0.0262,62.9
12.268,1.2787,0.466,80.695,1.2671,0.4539,79.702,-0.0194,0.0101,-0.992,0.0283,64.7
15.325,1.1868,1.2836,97.366,1.1876,1.2864,96.669,-0.0147,0.0174,-0.697,0.0223,57.4
18.406,1.0773,2.0303,117.598,1.0658,2.0413,117.216,-0.0249,0.0182,-0.382,0.0195,80.7
21.476,0.3506,2.1484,-179.126,0.3213,2.1601,-179.49,-0.043,0.0139,-0.364,0.0191,68.8
24.552,-0.4572,2.1155,-157.56,-0.4909,2.1177,-159.257,-0.0966,-0.0103,-1.697,0.0275,75.9
27.608,-0.4623,1.3873,-71.12,-0.5139,1.3875,-72.14,-0.0763,-0.0078,-1.02,0.021,55.8
30.692,0.0601,1.0004,10.421,0.0144,0.9909,9.801,-0.0565,-0.0088,-0.619,0.0267,84.3
33.739,0.7932,0.9946,-37.458,0.7662,0.9837,-37.393,-0.0259,-0.0118,0.064,0.025,46.6
36.813,0.6598,0.2676,-116.224,0.6346,0.261,-116.242,-0.0253,-0.0064,-0.018,0.0259,74.1
