elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
6.217,0.0,0.0,-0.011,-0.0082,-0.0125,-0.042,-0.0082,-0.0125,-0.031,0.0205,96.3
9.321,0.0,0.0,-0.022,-0.0117,-0.0163,-0.064,-0.0117,-0.0163,-0.042,0.0207,103.2
12.396,0.0,0.0,-0.027,-0.0124,-0.0175,-0.108,-0.0124,-0.0175,-0.081,0.0229,75.2
15.475,0.0,0.0,-0.016,-0.0127,-0.0189,-0.053,-0.0127,-0.0189,-0.036,0.0206,78.7
18.56,0.0,0.0,-0.005,-0.0124,-0.018,-0.08,-0.0124,-0.018,-0.074,0.0235,84.9
21.655,0.0,0.0,-0.005,-0.0137,-0.0188,-0.074,-0.0137,-0.0188,-0.069,0.0208,94.9
24.74,0.0,0.0,0.0,-0.0147,-0.0185,-0.06,-0.0147,-0.0185,-0.06,0.0208,84.2
27.83,0.0,0.0,0.0,-0.0136,-0.0186,-0.054,-0.0136,-0.0186,-0.054,0.0212,90.5
30.911,0.0,0.0,0.011,-0.014,-0.0191,-0.025,-0.014,-0.0191,-0.036,0.0211,80.8
33.99,0.8157,0.2087,15.095,0.8059,0.1993,15.1,-0.0098,-0.0095,0.005,0.0288,78.4
37.096,1.6092,0.4211,13.793,1.5956,0.4173,13.572,-0.0152,0.0024,-0.221,0.0314,105.8
40.187,2.0557,1.0474,63.298,2.0344,1.0604,63.243,-0.0223,0.015,-0.055,0.0204,90.7
43.267,2.4283,1.7191,39.705,2.4086,1.7557,40.276,-0.0024,0.0125,0.572,0.0206,79.7
46.352,3.252,1.7535,-0.835,3.2304,1.7962,-0.75,-0.0189,0.0378,0.085,0.0132,84.6
49.44,4.0671,1.7581,12.925,4.0304,1.8056,11.994,-0.0647,0.1139,-0.932,0.0181,88.3
52.53,4.6378,2.3401,48.213,4.6169,2.3793,47.11,-0.0651,0.129,-1.103,0.0378,90.2
55.602,5.0562,2.9538,96.713,5.0602,2.9852,95.659,-0.0494,0.1248,-1.053,0.038,71.3
58.679,4.415,3.3624,166.207,4.4269,3.4011,164.904,-0.0634,0.1399,-1.303,0.057,77.1
61.771,3.595,3.5507,167.986,3.6024,3.5894,166.365,-0.0916,0.1418,-1.621,0.0495,91.9
64.854,2.8229,3.7247,171.337,2.8522,3.7531,170.326,-0.0359,0.0788,-1.011,0.0368,82.3
67.933,1.9501,3.7503,178.918,1.9714,3.7683,178.172,-0.0273,0.0437,-0.746,0.028,79.4
71.024,1.1133,3.7823,178.204,1.1221,3.7942,177.736,-0.022,0.0211,-0.468,0.0216,88.0
74.092,0.3131,3.8263,177.413,0.3165,3.8254,176.98,-0.0255,0.0015,-0.432,0.0242,68.2
77.182,-0.2832,3.2938,-132.303,-0.2838,3.2739,-132.652,-0.0206,-0.0215,-0.349,0.0337,89.9
80.246,-0.6946,2.6767,-90.319,-0.7088,2.6636,-90.747,-0.0342,-0.0183,-0.428,0.0421,63.2
83.377,-0.683,1.8427,-89.055,-0.6827,1.8367,-89.558,-0.0159,-0.0119,-0.502,0.0556,131.6
86.406,-0.1981,1.2567,-42.737,-0.1949,1.2483,-43.376,-0.0109,-0.0106,-0.639,0.0324,27.8
89.48,0.4361,0.661,-41.512,0.4351,0.6538,-42.204,-0.0089,-0.0019,-0.692,0.0214,74.3
92.569,0.9955,0.1239,-63.792,1.0074,0.1098,-64.364,0.0108,-0.0041,-0.572,0.0398,88.8
95.677,0.5112,-0.1157,140.878,0.5208,-0.1212,140.471,0.0105,-0.0019,-0.407,0.0237,107.5
98.706,0.4016,-0.0372,148.134,0.4068,-0.0295,147.717,0.0054,0.0107,-0.417,0.0308,28.6
101.779,0.4016,-0.0372,148.14,0.404,-0.0301,147.79,0.0026,0.0096,-0.35,0.0247,73.5
