elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.229,0.0,0.0,0.0,-0.0102,-0.0111,-0.117,-0.0102,-0.0111,-0.117,0.0239,204.4
6.35,0.0,0.0,0.0,-0.0135,-0.0149,-0.126,-0.0135,-0.0149,-0.126,0.0238,120.5
9.409,0.7126,0.1608,13.035,0.6995,0.1513,12.903,-0.0135,-0.0079,-0.132,0.0269,58.6
12.488,1.2637,0.5411,92.763,1.2527,0.5322,91.974,-0.0184,0.0085,-0.789,0.0243,78.7
15.554,1.178,1.3602,96.207,1.1804,1.365,95.617,-0.0115,0.017,-0.59,0.0215,65.6
18.616,1.0474,2.0862,130.485,1.0333,2.0985,130.011,-0.0313,0.021,-0.474,0.0184,62.8
21.675,0.2927,2.1524,-178.753,0.2625,2.1641,-179.21,-0.0473,0.0141,-0.457,0.0199,58.7
24.734,-0.4755,2.1091,-154.599,-0.5175,2.1077,-154.754,-0.0478,-0.0027,-0.155,0.0329,58.2
27.799,-0.4752,1.3776,-71.433,-0.5215,1.3671,-71.7,-0.0527,-0.0127,-0.267,0.0202,64.8
30.886,0.0769,1.001,6.669,0.0344,0.9889,6.392,-0.0474,-0.0117,-0.277,0.026,87.0
33.955,0.8112,0.9662,-45.379,0.7826,0.9583,-44.633,-0.0159,-0.0184,0.746,0.0273,68.7
37.441,0.6555,0.2829,-113.049,0.6352,0.2766,-112.737,-0.0188,-0.0099,0.312,0.0264,485.5
