elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.144,0.0,0.0,0.0,-0.0061,-0.0158,-0.058,-0.0061,-0.0158,-0.058,0.0283,137.1
6.234,0.0,0.0,0.0,-0.0112,-0.0211,0.01,-0.0112,-0.0211,0.01,0.0241,90.1
9.369,0.0,0.0,0.011,-0.0125,-0.0233,0.056,-0.0125,-0.0233,0.045,0.025,134.1
12.456,0.6491,0.1752,16.122,0.639,0.1615,16.088,-0.0102,-0.0133,-0.035,0.0315,87.1
15.574,1.4725,0.4214,15.93,1.4625,0.4141,15.765,-0.0112,-0.0031,-0.165,0.0361,118.2
18.693,2.0804,0.8197,70.994,2.0665,0.832,70.93,-0.0148,0.0146,-0.063,0.0227,118.1
21.792,2.3602,1.5582,68.368,2.3354,1.5879,68.365,-0.0249,0.0298,-0.003,0.0183,99.2
24.916,3.0862,1.7441,1.483,3.0565,1.7793,1.456,-0.0305,0.0366,-0.027,0.0165,123.5
28.038,3.9481,1.7554,1.011,3.9192,1.7984,0.837,-0.0341,0.055,-0.174,0.013,121.5
31.147,4.5193,2.218,48.922,4.4832,2.2699,48.016,-0.0706,0.1236,-0.906,0.0314,108.6
34.257,5.015,2.8265,71.219,5.0034,2.8558,69.357,-0.1008,0.1937,-1.861,0.0504,110.2
37.516,4.4897,3.2925,166.333,4.4823,3.3318,164.689,-0.1,0.1694,-1.644,0.0584,258.7
40.638,3.6624,3.4872,167.492,3.6545,3.5222,165.967,-0.0994,0.1337,-1.525,0.0517,121.7
43.739,2.8482,3.6911,167.827,2.8547,3.7123,166.687,-0.0664,0.0786,-1.14,0.0346,100.6
46.874,2.0496,3.8049,179.945,2.0591,3.8089,179.126,-0.0447,0.0337,-0.819,0.0257,135.0
49.966,1.2158,3.822,179.489,1.2204,3.8173,178.969,-0.03,0.0064,-0.52,0.0233,91.3
53.137,0.426,3.8654,160.708,0.4131,3.8484,160.011,-0.0599,-0.0115,-0.696,0.0288,171.5
56.215,0.2432,4.6347,92.378,0.2408,4.6115,91.851,-0.0451,-0.0208,-0.527,0.0219,77.4
59.326,0.2124,5.4886,93.197,0.2086,5.4732,92.698,-0.0516,-0.0134,-0.499,0.0247,110.6
62.454,-0.2298,5.9372,179.137,-0.2463,5.9339,178.581,-0.0742,-0.0052,-0.556,0.027,127.6
65.563,-1.0239,5.9421,-168.294,-1.0571,5.941,-169.189,-0.1262,-0.0164,-0.895,0.0221,108.7
68.693,-1.6196,5.4037,-137.9,-1.6787,5.3928,-139.233,-0.1852,-0.0471,-1.332,0.0202,130.5
71.801,-1.8799,4.7195,-88.874,-1.9542,4.6873,-89.844,-0.1545,-0.0634,-0.97,0.0202,107.1
74.908,-1.8329,3.9526,-58.931,-1.9015,3.8917,-59.777,-0.1272,-0.0875,-0.846,0.0253,106.9
78.022,-1.1755,3.4543,-34.041,-1.2222,3.3844,-34.516,-0.0753,-0.0795,-0.475,0.0309,113.7
81.137,-0.8154,2.8445,-75.157,-0.8523,2.7867,-75.462,-0.052,-0.0622,-0.305,0.0396,115.4
84.253,-0.6107,2.0139,-75.619,-0.6283,1.9711,-75.915,-0.028,-0.0459,-0.296,0.0407,115.3
87.356,-0.423,1.2,-75.943,-0.4249,1.1594,-76.29,-0.0092,-0.0431,-0.347,0.0308,103.2
90.494,0.0281,0.625,-24.615,0.0415,0.5851,-25.127,0.0078,-0.0396,-0.512,0.0285,137.3
93.608,0.7309,0.2536,-52.405,0.7571,0.2176,-52.179,0.0272,-0.0389,0.226,0.0382,113.7
96.716,0.3412,-0.1083,142.663,0.3605,-0.1281,142.774,0.0191,-0.0205,0.111,0.0266,107.6
99.821,0.2457,-0.0305,141.943,0.2692,-0.046,141.741,0.0236,-0.0146,-0.202,0.0359,104.8
102.933,0.2457,-0.0305,141.927,0.2696,-0.0427,141.747,0.0241,-0.0114,-0.179,0.034,112.0
106.056,0.2457,-0.0305,141.91,0.2746,-0.0416,141.447,0.0291,-0.0091,-0.463,0.0387,123.3
