elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.177,0.0,0.0,0.0,-0.0219,-0.006,-0.389,-0.0219,-0.006,-0.389,0.0403,163.5
6.241,0.0946,0.0156,16.639,0.0739,0.0034,16.454,-0.0207,-0.0119,-0.185,0.025,63.5
9.329,0.835,0.3699,24.829,0.8208,0.3665,24.683,-0.0151,-0.0012,-0.146,0.029,88.2
12.411,1.6077,0.7278,23.434,1.6067,0.729,23.311,-0.0025,0.0046,-0.123,0.0387,81.7
15.497,2.1439,1.1951,61.644,2.1342,1.2101,61.99,-0.0025,0.0021,0.346,0.0257,85.4
18.579,2.5931,1.7667,8.399,2.5822,1.7944,9.089,0.0106,-0.0034,0.69,0.0288,82.6
21.671,3.4598,1.7245,-2.225,3.4389,1.7644,-2.133,-0.0181,0.0344,0.091,0.0137,91.2
24.763,4.2456,1.705,-0.302,4.228,1.7533,-0.272,-0.0167,0.0461,0.03,0.0147,91.8
27.846,4.761,1.149,-54.075,4.7596,1.2017,-54.188,-0.0037,0.0621,-0.113,0.0144,83.2
30.945,5.2219,0.4938,-51.35,5.2456,0.5538,-51.58,0.0218,0.0809,-0.23,0.0151,99.0
34.032,5.7358,-0.1364,-49.466,5.806,-0.069,-49.852,0.0712,0.1061,-0.386,0.0289,86.9
37.127,6.2491,-0.7758,-48.12,6.351,-0.712,-48.901,0.113,0.1488,-0.781,0.0372,94.3
40.21,6.3486,-1.5628,-86.638,6.4322,-1.5281,-86.999,0.0935,0.0746,-0.361,0.0574,82.8
43.302,6.4032,-2.3914,-84.485,6.4848,-2.3676,-84.688,0.0901,0.0464,-0.203,0.0471,91.7
46.387,5.8511,-2.681,173.996,5.9367,-2.6624,173.635,0.1026,0.0553,-0.36,0.0324,85.5
49.502,5.0204,-2.6059,175.825,5.107,-2.6043,175.551,0.099,0.0256,-0.274,0.0345,114.7
52.578,4.303,-2.3889,143.954,4.3721,-2.4028,143.678,0.0807,0.0068,-0.276,0.0511,75.6
55.666,3.6234,-1.908,146.503,3.6737,-1.9172,145.753,0.0756,0.0379,-0.749,0.0477,88.1
58.739,2.9083,-1.4291,148.211,2.9527,-1.429,147.428,0.0641,0.0397,-0.783,0.0662,72.8
61.836,2.2974,-0.9811,113.357,2.3283,-0.9748,112.409,0.0475,0.0442,-0.948,0.0581,96.4
64.939,2.1164,-0.1764,104.974,2.1454,-0.1724,104.241,0.0314,0.031,-0.733,0.0416,103.0
68.027,1.5161,0.1208,-175.506,1.5504,0.105,-175.714,0.0339,-0.0103,-0.208,0.0282,88.3
71.121,0.6946,0.0787,-177.83,0.7181,0.0454,-177.839,0.0235,-0.0332,-0.009,0.0302,93.2
