elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.553,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
0.654,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
0.658,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
0.763,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
0.765,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
0.857,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
0.86,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
0.955,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
0.971,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.05,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0657
1.072,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
1.188,0.0,0.0,0.0,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0547
1.191,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.256,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.263,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.355,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.367,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.473,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.476,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.56,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.582,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.662,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.672,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.766,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.781,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
1.862,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0657
1.869,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
1.968,0.0,0.0,0.0,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0547
1.994,0.0,0.0,0.0,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0602
2.066,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0602,-0.007805,-0.009844,-0.0657
2.072,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.168,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.174,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.272,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.277,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.372,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.392,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.472,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.476,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.575,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.578,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.675,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.678,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
2.777,0.0,0.0,0.011,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0657
2.788,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
2.879,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
2.881,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
2.982,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
3.012,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
3.083,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0547
3.089,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
3.185,0.0,0.0,0.011,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0657
3.19,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
3.291,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
3.296,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
3.388,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0547
3.392,0.0,0.0,0.0055,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0602
3.491,0.0,0.0,0.011,-0.007805,-0.009844,-0.0547,-0.007805,-0.009844,-0.0657
3.494,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
3.591,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
3.594,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
3.691,0.0,0.0,0.011,-0.007805,-0.009844,-0.0492,-0.007805,-0.009844,-0.0602
3.696,0.0,0.0,0.011,-0.010805,-0.013569,-0.0156,-0.010805,-0.013569,-0.0266
3.793,0.0,0.0,0.011,-0.010805,-0.013569,-0.0156,-0.010805,-0.013569,-0.0266
3.795,0.0,0.0,0.011,-0.010805,-0.013569,-0.0156,-0.010805,-0.013569,-0.0266
3.894,0.0,0.0,0.011,-0.010805,-0.013569,-0.0156,-0.010805,-0.013569,-0.0266
3.902,0.0,0.0,0.011,-0.010805,-0.013569,-0.0156,-0.010805,-0.013569,-0.0266
