elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.103,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.194,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.197,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.293,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.303,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.399,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.409,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.496,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.501,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.605,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.623,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.699,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.702,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.8,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.806,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.912,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
0.916,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.005,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.008,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.109,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.112,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.212,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.224,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.308,0.0,0.0,-0.011,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0293
1.314,0.0,0.0,-0.011,-0.007217,-0.018742,0.0128,-0.007217,-0.018742,0.0238
1.41,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0128,-0.007217,-0.018742,0.0183
1.42,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.519,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.523,0.0,0.0,-0.0055,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0238
1.619,0.0,0.0,-0.011,-0.007217,-0.018742,0.0183,-0.007217,-0.018742,0.0293
1.622,0.0,0.0,-0.011,-0.007217,-0.018742,0.0128,-0.007217,-0.018742,0.0238
1.718,0.0,0.0,-0.011,-0.007217,-0.018742,0.0128,-0.007217,-0.018742,0.0238
1.723,0.0,0.0,-0.011,-0.007217,-0.018742,0.0128,-0.007217,-0.018742,0.0238
