elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.122,0.0,0.0,-0.027,-0.0088,-0.0147,0.006,-0.0088,-0.0147,0.033,0.0254,107.0
6.273,0.0,0.0,-0.044,-0.0115,-0.0193,-0.017,-0.0115,-0.0193,0.027,0.0232,150.7
9.468,0.0,0.0,-0.049,-0.0132,-0.0239,0.008,-0.0132,-0.0239,0.057,0.0242,194.3
12.572,0.0,0.0,-0.066,-0.0128,-0.0229,-0.036,-0.0128,-0.0229,0.03,0.0232,104.2
15.722,0.0,0.0,-0.077,-0.013,-0.0246,0.027,-0.013,-0.0246,0.103,0.0248,149.5
18.749,0.1718,0.0198,11.843,0.1578,0.0056,11.644,-0.0141,-0.0137,-0.2,0.0343,27.2
21.901,1.0403,0.2051,10.783,1.0212,0.1915,10.621,-0.0198,-0.0106,-0.162,0.033,152.1
25.048,1.6934,0.6409,46.555,1.6697,0.6372,46.627,-0.0229,-0.0058,0.073,0.0375,146.5
28.195,2.2931,1.2753,44.665,2.2457,1.2805,44.84,-0.0434,-0.0019,0.176,0.0189,146.6
31.36,3.0316,1.6034,10.003,2.9681,1.6091,9.907,-0.0662,0.0108,-0.096,0.0128,164.8
34.517,3.8928,1.7661,9.69,3.8147,1.7706,9.209,-0.0928,0.0373,-0.481,0.0151,156.7
37.677,4.5404,2.2406,40.139,4.4449,2.2439,39.058,-0.1369,0.0893,-1.08,0.0237,160.5
40.822,5.2017,2.8082,38.936,5.1223,2.7934,37.896,-0.1295,0.08,-1.04,0.0599,144.9
43.972,6.0278,2.9437,3.917,5.941,2.9166,3.629,-0.1015,0.0032,-0.288,0.039,149.2
47.119,6.81,2.8641,-51.114,6.7202,2.8212,-51.281,-0.0981,-0.023,-0.167,0.0536,146.7
50.268,6.8274,2.0059,-92.79,6.7451,1.9852,-92.799,-0.0826,-0.0197,-0.008,0.024,149.0
53.392,6.7813,1.1224,-92.472,6.7327,1.1058,-92.586,-0.0508,-0.0031,-0.114,0.0422,124.0
56.559,6.7334,0.2505,-92.757,6.742,0.2595,-93.677,0.0054,0.117,-0.92,0.053,166.6
59.699,6.6794,-0.6287,-93.323,6.6863,-0.6109,-94.38,0.0197,0.1409,-1.057,0.0436,139.8
62.834,6.6241,-1.5109,-92.911,6.6112,-1.5007,-93.756,0.01,0.1078,-0.845,0.03,135.2
65.978,6.5808,-2.3822,-92.208,6.5623,-2.3737,-92.908,0.0111,0.0887,-0.7,0.0348,142.9
69.143,5.9698,-2.6828,176.155,5.9596,-2.6738,175.622,0.015,0.0644,-0.533,0.03,165.4
72.296,5.0851,-2.6248,177.742,5.0823,-2.6337,177.406,0.0126,0.0209,-0.336,0.0431,152.4
75.439,4.3564,-2.2748,149.711,4.34,-2.2968,149.218,0.0033,0.0153,-0.493,0.0496,143.4
78.648,3.5941,-1.8124,150.315,3.579,-1.8349,149.281,0.0183,0.0422,-1.034,0.0544,208.8
81.73,2.8647,-1.3937,152.77,2.8383,-1.4366,150.09,0.0419,0.0895,-2.68,0.0542,81.8
84.907,2.4197,-0.6613,120.042,2.4123,-0.7154,119.093,0.0038,-0.0141,-0.949,0.025,176.6
88.007,2.0596,0.0653,130.056,2.0679,-0.0097,129.489,0.0077,-0.0546,-0.567,0.0475,99.2
91.15,1.225,0.1917,178.478,1.2288,0.0935,178.315,0.0033,-0.0946,-0.163,0.0275,143.1
94.299,0.4385,0.2432,177.731,0.4435,0.1295,177.846,0.0055,-0.1146,0.114,0.0281,149.2
