elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.041,0.0,0.0,0.0,-0.0073,-0.0194,0.092,-0.0073,-0.0194,0.092,0.0309,32.1
6.142,0.0,0.0,0.0,-0.0121,-0.0306,0.278,-0.0121,-0.0306,0.278,0.0322,100.8
9.234,0.1193,0.0098,9.283,0.1022,-0.012,9.456,-0.0171,-0.0221,0.173,0.0221,92.4
12.366,0.9192,0.1822,11.107,0.899,0.1675,10.948,-0.0207,-0.0121,-0.16,0.0336,131.1
15.456,1.5848,0.5304,47.313,1.5762,0.5235,47.069,-0.0108,-0.0001,-0.244,0.0434,89.8
18.573,2.1469,1.1432,46.038,2.1168,1.1369,46.426,-0.0223,-0.0208,0.388,0.0321,116.6
21.666,2.7527,1.5659,8.448,2.7115,1.5711,8.989,-0.0263,-0.0206,0.541,0.0237,93.4
24.802,3.5919,1.7102,8.306,3.5374,1.716,8.238,-0.0566,0.01,-0.067,0.0144,135.9
27.893,4.2603,2.0023,40.765,4.2029,2.0102,40.578,-0.0639,0.0219,-0.187,0.0132,90.5
30.998,4.8911,2.5555,39.21,4.8307,2.5428,38.757,-0.0804,0.026,-0.453,0.0428,105.1
34.109,5.5481,2.9132,0.308,5.4945,2.883,-0.493,-0.0937,0.0476,-0.801,0.0577,110.5
37.209,6.3721,2.9697,3.983,6.3152,2.9371,3.457,-0.0838,0.026,-0.525,0.03,99.6
40.339,6.8207,2.5403,-93.29,6.7649,2.5011,-93.614,-0.07,-0.0006,-0.324,0.0337,129.5
43.433,6.7758,1.7267,-92.856,6.7316,1.699,-93.061,-0.0503,-0.0035,-0.204,0.0207,93.8
46.541,6.7276,0.9045,-93.065,6.7237,0.8977,-93.545,-0.0113,0.0495,-0.48,0.0666,108.0
49.655,6.6803,0.0925,-93.263,6.714,0.0926,-94.67,0.0335,0.1641,-1.407,0.042,113.3
52.771,6.633,-0.7507,-92.56,6.6605,-0.7592,-94.006,0.0486,0.1587,-1.446,0.0413,115.7
55.881,6.5891,-1.5985,-92.406,6.604,-1.6065,-93.848,0.0573,0.1573,-1.442,0.0353,109.9
58.977,6.5549,-2.392,-91.044,6.5549,-2.4035,-92.075,0.0441,0.106,-1.031,0.029,96.3
62.089,5.9784,-2.6862,174.639,5.9795,-2.6981,173.87,0.0377,0.068,-0.769,0.0342,111.5
65.221,5.1297,-2.6089,177.099,5.1392,-2.6318,176.379,0.0428,0.0415,-0.721,0.0376,132.4
68.315,4.433,-2.3029,150.287,4.4301,-2.3415,149.734,0.0196,0.004,-0.553,0.0487,93.6
71.426,3.7042,-1.8533,150.524,3.7013,-1.8963,149.531,0.0297,0.0209,-0.992,0.0545,110.4
74.548,2.9855,-1.4374,153.468,2.9811,-1.474,152.344,0.0244,0.0217,-1.124,0.0705,122.4
77.654,2.5281,-0.8224,118.603,2.5259,-0.8587,117.519,0.0138,0.0114,-1.084,0.0514,105.5
80.761,2.135,-0.0714,120.701,2.1333,-0.1276,119.93,-0.0005,-0.0275,-0.772,0.0365,106.6
83.865,1.4844,0.1712,178.995,1.4889,0.088,178.563,0.0033,-0.072,-0.431,0.0233,103.8
86.975,0.6378,0.2176,178.094,0.6529,0.1204,177.874,0.0142,-0.0948,-0.22,0.0294,109.9
