elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
6.151,0.0,0.0,0.0,-0.0068,-0.0118,-0.088,-0.0068,-0.0118,-0.088,0.0236,41.4
9.31,0.0,0.0,-0.011,-0.0103,-0.0164,-0.172,-0.0103,-0.0164,-0.161,0.0234,159.5
12.351,0.0,0.0,-0.027,-0.0109,-0.0181,-0.12,-0.0109,-0.0181,-0.093,0.024,40.0
15.496,0.0,0.0,-0.049,-0.0115,-0.0176,-0.173,-0.0115,-0.0176,-0.123,0.0235,144.8
18.851,0.0,0.0,-0.06,-0.0113,-0.0173,-0.17,-0.0113,-0.0173,-0.11,0.0242,355.6
21.977,0.1941,0.032,15.397,0.1786,0.0176,14.926,-0.0158,-0.0128,-0.471,0.0376,125.0
25.013,0.9814,0.2582,14.854,0.9649,0.2456,14.416,-0.0185,-0.005,-0.438,0.0369,36.6
28.057,1.6617,0.4382,14.101,1.6514,0.4339,13.797,-0.0126,0.0045,-0.304,0.0296,43.2
31.218,1.7947,0.527,48.263,1.7821,0.5243,46.751,-0.026,0.0448,-1.512,0.0553,160.8
34.245,2.1667,1.2073,60.886,2.1563,1.2266,60.369,-0.0213,0.039,-0.518,0.0211,26.9
37.283,2.6398,1.7578,9.789,2.6281,1.7838,9.546,-0.0191,0.0372,-0.243,0.0177,37.5
40.31,3.4549,1.8796,8.762,3.4417,1.9126,8.208,-0.0312,0.0664,-0.553,0.0169,26.4
43.499,3.6249,1.9052,9.448,3.6096,1.9403,8.36,-0.0508,0.1043,-1.088,0.0249,188.7
46.656,4.3457,2.0505,32.657,4.3409,2.0897,31.972,-0.029,0.0913,-0.685,0.0182,156.7
49.695,4.8572,2.6093,47.543,4.8659,2.6408,46.738,-0.0275,0.1001,-0.805,0.0611,38.9
52.852,4.949,2.7197,48.038,4.9571,2.752,47.092,-0.0362,0.1143,-0.946,0.0671,157.1
56.034,4.726,3.299,146.146,4.7373,3.3331,145.162,-0.0446,0.1157,-0.983,0.057,182.0
59.214,3.9365,3.5165,167.832,3.9401,3.547,166.768,-0.0611,0.1042,-1.065,0.0545,179.8
62.379,3.0954,3.7125,162.334,3.0968,3.7275,161.489,-0.053,0.0611,-0.844,0.0367,165.1
65.41,3.0289,3.7402,160.488,3.0374,3.7421,158.924,-0.0925,0.0859,-1.564,0.0394,30.7
68.555,2.9364,3.7601,168.981,2.9537,3.7587,167.599,-0.0725,0.0705,-1.381,0.0384,143.9
71.595,2.1579,3.8715,-177.572,2.1946,3.8628,-178.484,-0.0246,0.0261,-0.912,0.0286,39.6
74.641,1.3336,3.8583,-179.462,1.3538,3.8474,-179.937,-0.0118,0.0003,-0.475,0.0227,45.5
77.808,0.6796,3.8599,-178.813,0.6883,3.8378,-178.984,-0.0028,-0.0201,-0.171,0.0216,166.9
80.978,0.6116,3.8565,-169.733,0.6135,3.8258,-169.688,0.005,-0.0312,0.045,0.023,169.7
84.119,0.3616,3.8565,172.914,0.3597,3.8202,172.752,-0.0128,-0.0353,-0.161,0.0241,141.3
87.294,0.0244,3.7646,-121.564,0.03,3.719,-121.715,-0.0044,-0.0456,-0.152,0.0294,174.9
90.454,-0.0671,3.6526,-133.292,-0.0614,3.5964,-133.462,-0.0052,-0.0564,-0.171,0.0329,160.0
93.473,-0.4437,3.3334,-142.756,-0.4411,3.2671,-142.829,-0.0016,-0.0669,-0.073,0.0317,18.4
96.521,-0.8051,2.7591,-77.756,-0.8025,2.7045,-77.648,0.0078,-0.053,0.108,0.057,47.5
99.554,-0.6433,1.9547,-77.767,-0.6158,1.9124,-77.714,0.0293,-0.0416,0.052,0.0565,32.5
102.595,-0.4279,1.2616,-34.508,-0.4032,1.2341,-35.969,-0.0076,-0.038,-1.461,0.0481,41.1
105.638,0.2539,0.8374,-29.96,0.2863,0.8046,-30.624,0.0227,-0.0298,-0.665,0.0306,43.3
108.661,0.8359,0.3671,-76.08,0.8673,0.3373,-76.817,0.0268,-0.0191,-0.737,0.0371,22.5
111.841,0.466,0.0385,176.369,0.4873,0.021,175.831,0.0209,-0.0131,-0.538,0.0383,179.6
114.867,0.3131,0.0333,-171.178,0.3309,0.02,-171.611,0.0176,-0.0109,-0.433,0.043,26.0
