elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.117,0.0,0.0,0.0,-0.0098,-0.011,-0.057,-0.0098,-0.011,-0.057,0.0233,107.2
6.182,0.0,0.0,-0.011,-0.0134,-0.0142,-0.049,-0.0134,-0.0142,-0.038,0.0241,64.8
9.255,0.4266,0.0977,11.86,0.4081,0.0871,11.781,-0.0187,-0.01,-0.079,0.026,72.8
12.318,1.171,0.2783,30.531,1.1514,0.2792,30.332,-0.0205,0.0049,-0.199,0.0284,63.3
15.389,1.235,1.0403,96.361,1.2186,1.0476,96.17,-0.0199,0.0114,-0.191,0.023,70.2
18.452,1.1438,1.8619,97.548,1.1367,1.8768,97.243,-0.017,0.021,-0.304,0.0183,62.6
21.524,0.5762,2.1469,-179.368,0.547,2.1608,-179.673,-0.0406,0.017,-0.305,0.0165,72.5
24.598,-0.2747,2.1396,-178.28,-0.311,2.1437,-178.721,-0.0528,0.002,-0.44,0.0245,73.1
27.646,-0.5533,1.6232,-67.385,-0.6034,1.6238,-67.697,-0.059,-0.0024,-0.312,0.0196,47.8
30.711,-0.1901,0.9686,-12.552,-0.243,0.9599,-13.563,-0.07,-0.012,-1.012,0.027,65.1
33.785,0.5875,1.0577,6.251,0.5514,1.0446,5.635,-0.0474,-0.0068,-0.616,0.025,73.9
36.862,0.7672,0.4822,-117.361,0.7395,0.4767,-117.643,-0.0301,-0.0017,-0.282,0.0266,77.3
