elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.37,0.0,0.0,0.0,-0.0065,-0.0103,-0.088,-0.0065,-0.0103,-0.088,0.0266,148.7
6.506,0.0,0.0,-0.005,-0.0101,-0.0146,-0.138,-0.0101,-0.0146,-0.132,0.0261,136.5
9.616,0.0,0.0,-0.011,-0.0122,-0.0162,-0.175,-0.0122,-0.0162,-0.164,0.024,109.1
12.755,0.6821,0.2017,15.705,0.6741,0.1936,15.641,-0.0082,-0.0073,-0.064,0.0316,139.1
15.905,1.5076,0.4395,15.276,1.4856,0.4398,14.659,-0.0266,0.0166,-0.618,0.0456,149.6
19.025,2.0209,0.0891,-74.141,2.0023,0.0896,-74.497,-0.0191,0.0131,-0.356,0.0293,120.0
22.16,2.2766,-0.7275,-71.417,2.2603,-0.7252,-71.632,-0.0136,0.0109,-0.216,0.0192,134.5
25.311,2.7856,-1.293,-34.969,2.7792,-1.2847,-35.298,0.001,0.0243,-0.329,0.0251,150.8
28.462,3.4927,-1.7993,-33.876,3.494,-1.7784,-34.961,0.036,0.0868,-1.085,0.0487,150.7
31.623,4.2068,-2.2906,-32.997,4.215,-2.2824,-34.099,0.053,0.0887,-1.102,0.0456,161.3
34.748,4.9286,-2.623,-5.581,4.9606,-2.6221,-6.222,0.0616,0.0558,-0.641,0.0374,124.8
37.899,5.7806,-2.771,-8.871,5.823,-2.7717,-8.945,0.0459,0.0067,-0.073,0.061,151.0
41.04,6.6293,-2.9285,-9.613,6.6802,-2.9001,-9.883,0.0647,0.0595,-0.27,0.0296,140.0
44.239,7.4765,-3.0826,-9.322,7.5408,-3.0241,-9.895,0.0955,0.1331,-0.573,0.0442,198.9
47.335,8.3252,-3.2468,-9.432,8.3943,-3.1702,-9.888,0.0953,0.1428,-0.456,0.0528,95.9
50.469,8.9301,-3.0579,77.294,9.0098,-2.9629,76.557,0.1198,0.2096,-0.737,0.048,133.7
53.599,8.9746,-2.3331,138.708,9.0668,-2.2415,137.758,0.1321,0.2401,-0.95,0.0538,129.5
56.753,8.2675,-2.3709,-176.764,8.3542,-2.2594,-177.832,0.1323,0.2651,-1.068,0.0534,154.1
59.897,7.4066,-2.4231,-176.27,7.4773,-2.3116,-176.43,0.0775,0.1322,-0.16,0.0451,144.0
63.059,6.6003,-2.4527,176.583,6.6691,-2.3629,176.542,0.0705,0.0945,-0.041,0.0295,162.3
66.196,6.3892,-1.748,88.275,6.4586,-1.6668,87.878,0.0817,0.1256,-0.397,0.0211,136.0
69.319,6.42,-0.9323,88.077,6.5166,-0.834,87.068,0.1141,0.2113,-1.01,0.0346,123.1
72.451,6.4429,-0.0812,89.269,6.5663,0.0367,87.926,0.1271,0.2688,-1.343,0.0436,131.7
75.601,6.4569,0.7724,89.473,6.5642,0.9029,88.388,0.0938,0.2528,-1.085,0.0334,150.0
78.743,6.4774,1.6241,88.687,6.5504,1.7522,88.007,0.0542,0.2051,-0.68,0.0296,141.5
81.885,6.5231,2.4744,87.122,6.5759,2.6019,86.709,0.0351,0.1746,-0.413,0.0341,142.0
85.018,6.5869,3.2703,86.149,6.6259,3.4141,86.061,0.034,0.1539,-0.088,0.0331,132.8
88.153,6.2527,3.9966,119.608,6.2589,4.1494,119.578,0.004,0.1561,-0.03,0.0354,134.7
91.307,5.8554,4.7516,120.536,5.8343,4.9091,120.348,-0.0367,0.1768,-0.188,0.0243,153.8
94.434,5.296,4.5786,-114.917,5.2389,4.7334,-114.794,-0.0473,0.1435,0.123,0.0331,126.3
97.573,5.0912,3.8605,-81.48,5.034,4.0072,-81.487,-0.0577,0.1473,-0.007,0.0245,139.3
100.74,5.1767,3.0182,-83.205,5.1417,3.1537,-83.614,-0.0564,0.1725,-0.409,0.0488,166.2
103.851,4.8843,2.4249,-118.476,4.8481,2.5445,-119.535,-0.0802,0.2102,-1.058,0.0556,111.5
106.983,4.3622,1.8826,-140.043,4.3169,2.0182,-140.516,-0.0607,0.1717,-0.474,0.0133,131.5
110.132,3.5434,1.7514,-173.276,3.492,1.8904,-173.737,-0.0653,0.1675,-0.461,0.0145,148.5
113.25,2.7557,1.6254,-147.283,2.6865,1.7736,-147.564,-0.0772,0.1617,-0.281,0.0246,118.0
116.391,2.1979,1.0049,-134.67,2.1231,1.1492,-134.758,-0.0763,0.1476,-0.087,0.0208,140.7
119.545,1.6339,0.4181,-134.994,1.5675,0.5479,-135.207,-0.068,0.1359,-0.213,0.0336,154.4
122.66,0.9747,0.0699,-168.761,0.9076,0.1934,-169.018,-0.0674,0.1278,-0.257,0.0345,114.6
125.783,0.3387,-0.0574,-175.452,0.2675,0.0559,-175.951,-0.0707,0.1162,-0.5,0.0273,123.1
128.924,0.3394,-0.0607,-156.681,0.2643,0.0475,-157.116,-0.0746,0.1108,-0.434,0.026,140.1
