elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
12.378,0.0,0.0,-0.044,-0.0071,-0.0102,-0.124,-0.0071,-0.0102,-0.08,0.0233,97.4
15.481,0.7715,0.2011,14.832,0.7684,0.1976,14.582,-0.0039,-0.0001,-0.25,0.0329,102.8
18.602,1.5933,0.4187,12.887,1.5901,0.4144,12.537,-0.0058,0.0055,-0.35,0.0369,120.0
21.682,2.0654,0.9622,57.761,2.0583,0.9786,57.556,-0.0105,0.0237,-0.204,0.0228,80.5
24.773,2.5174,1.6681,54.794,2.5054,1.6974,54.839,-0.0107,0.0273,0.045,0.0183,90.4
27.854,3.2635,1.8378,4.768,3.2495,1.8717,4.67,-0.0172,0.0395,-0.098,0.0155,80.8
30.94,4.0942,1.9003,4.378,4.0837,1.9412,4.449,-0.0081,0.0358,0.071,0.0143,85.7
34.043,4.5731,2.2833,42.902,4.5558,2.3265,42.362,-0.0385,0.0864,-0.54,0.0258,102.7
37.12,5.1663,2.7661,11.228,5.1628,2.8,10.958,-0.0165,0.0583,-0.27,0.054,77.2
40.222,6.0028,2.9697,13.266,6.0159,3.0003,13.215,0.0105,0.0359,-0.051,0.0324,102.1
43.309,6.7407,3.1488,11.223,6.7745,3.1862,11.524,0.0505,0.0019,0.302,0.0318,86.3
46.397,7.3654,3.6508,39.276,7.4264,3.7094,39.803,0.0949,-0.0091,0.527,0.0319,88.2
49.499,7.9102,4.1925,79.228,7.9764,4.2532,79.295,0.0711,0.0514,0.067,0.0264,101.1
52.576,7.9019,5.0156,90.774,7.9568,5.0855,90.617,0.0411,0.0916,-0.157,0.0198,76.5
55.661,7.861,5.8057,120.333,7.9093,5.8818,119.797,-0.0056,0.1499,-0.536,0.0225,85.7
58.732,7.11,5.8878,-176.655,7.1414,5.9645,-176.992,-0.0032,0.1187,-0.337,0.0173,70.7
61.824,6.3251,5.835,-174.183,6.34,5.9058,-174.404,-0.0075,0.0953,-0.221,0.0211,91.0
64.9,6.1075,5.1871,-86.21,6.1129,5.246,-86.395,-0.0113,0.0787,-0.185,0.0249,76.1
67.981,6.174,4.3341,-84.194,6.1835,4.3859,-84.345,-0.0019,0.0681,-0.151,0.0265,80.4
71.061,6.1865,4.2178,-84.238,6.1996,4.2616,-84.365,0.0037,0.0575,-0.128,0.0287,80.5
