elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,delta_x,delta_y,delta_h_deg
0.243,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.331,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.342,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.419,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.434,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.522,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.535,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.623,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.627,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.725,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.728,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.834,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.871,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.93,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
0.936,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.029,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.034,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.131,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.136,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.234,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.237,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.337,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.342,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.435,0.0,0.0,0.0,-0.007196,-0.009474,-0.0716,-0.007196,-0.009474,-0.0716
1.438,0.0,0.0,0.0,-0.011411,-0.014749,0.0208,-0.011411,-0.014749,0.0208
1.539,0.0,0.0,0.0,-0.011411,-0.014749,0.0208,-0.011411,-0.014749,0.0208
1.544,0.0,0.0,0.0,-0.011411,-0.014749,0.0208,-0.011411,-0.014749,0.0208
1.641,0.0,0.0,0.0055,-0.011411,-0.014749,0.0208,-0.011411,-0.014749,0.0153
1.659,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
1.74,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
1.746,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
1.844,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
1.846,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
1.946,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
1.953,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.048,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.051,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.152,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.174,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.248,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.255,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.35,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.352,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.456,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.461,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.56,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.564,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.658,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.663,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.761,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.776,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.859,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.863,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.968,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
2.97,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
3.062,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
3.066,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
3.171,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
3.174,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
3.266,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
3.281,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
3.366,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
3.369,0.0,0.0,0.0055,-0.011411,-0.014749,0.0263,-0.011411,-0.014749,0.0208
