elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.154,0.0,0.0,0.022,-0.0226,-0.0268,-0.458,-0.0226,-0.0268,-0.48,0.0231,139.1
6.307,0.0,0.0,0.016,-0.0051,-0.0114,-0.002,-0.0051,-0.0114,-0.019,0.0248,151.9
9.477,0.0,0.0,0.027,-0.0128,-0.0219,-0.291,-0.0128,-0.0219,-0.318,0.0259,169.8
12.632,0.0,0.0,0.027,-0.0082,-0.0156,-0.136,-0.0082,-0.0156,-0.164,0.0255,154.7
15.661,0.0284,0.0006,2.692,0.0048,-0.0234,2.612,-0.0236,-0.024,-0.08,0.0273,28.7
18.687,0.8215,0.2155,14.771,0.7992,0.2259,14.372,-0.0238,0.0162,-0.399,0.0356,25.9
21.742,1.6095,0.4095,12.25,1.5837,0.4057,11.208,-0.033,0.0255,-1.042,0.0413,54.9
24.892,2.077,1.0013,60.524,2.0361,1.047,61.17,-0.0295,0.0224,0.646,0.0227,149.4
28.042,2.5192,1.647,41.655,2.5181,1.6855,42.913,0.0356,-0.0164,1.258,0.0205,149.8
31.076,3.3218,1.8088,8.08,3.2791,1.8266,6.735,-0.0843,0.0964,-1.346,0.0141,34.3
34.09,4.1006,1.9846,13.266,4.1016,2.0509,14.07,0.0292,0.0089,0.804,0.0137,13.7
37.126,4.7113,2.4097,45.703,4.7003,2.403,44.43,-0.0633,0.0986,-1.273,0.0337,35.3
40.288,4.9973,3.0685,120.399,5.0114,3.0999,119.578,-0.0293,0.1033,-0.821,0.0379,162.3
43.32,4.328,3.421,168.277,4.3226,3.4249,167.069,-0.0767,0.0959,-1.209,0.0554,31.8
46.357,3.5202,3.6179,167.261,3.5302,3.6048,165.45,-0.1026,0.1,-1.811,0.0502,35.9
49.515,2.6849,3.8217,168.607,2.7196,3.763,167.844,-0.016,-0.0226,-0.763,0.0312,157.7
52.547,1.9339,3.9221,-178.989,1.9456,3.9044,-179.092,0.0047,-0.0143,-0.103,0.0246,31.4
55.699,1.7285,3.9166,-174.847,1.7373,3.8861,-175.093,-0.0079,-0.0231,-0.245,0.0205,152.3
58.743,0.9497,3.8956,-179.154,0.9594,3.8644,-179.49,-0.0131,-0.0256,-0.336,0.0225,44.0
61.907,0.1678,3.8599,-158.901,0.2012,3.8112,-161.246,-0.1245,-0.0385,-2.345,0.0305,162.8
64.951,-0.4413,3.3203,-139.021,-0.4526,3.2269,-138.277,0.0317,-0.0874,0.744,0.0317,44.3
68.106,-0.8051,2.7432,-76.871,-0.8117,2.7229,-76.701,0.0015,-0.0179,0.17,0.0576,154.7
71.144,-0.6381,1.9366,-77.415,-0.5928,1.9107,-78.069,0.0232,-0.0331,-0.654,0.0534,37.6
74.316,-0.5771,1.5674,-83.046,-0.5546,1.5379,-83.168,0.0191,-0.0307,-0.122,0.0456,172.1
77.465,-0.3143,1.185,-31.459,-0.2563,1.1547,-32.484,0.0368,-0.0358,-1.025,0.04,148.5
80.635,0.1608,0.8844,-27.164,0.2071,0.8684,-27.139,0.0466,-0.016,0.025,0.0415,169.6
83.792,0.5258,0.6372,-33.354,0.5407,0.6174,-34.248,0.005,-0.0115,-0.894,0.0332,156.7
86.833,0.798,0.0864,-136.428,0.8071,0.0733,-136.608,0.0088,-0.0106,-0.18,0.0311,41.5
