elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.161,0.0,0.0,0.0,-0.0071,-0.0127,-0.163,-0.0071,-0.0127,-0.163,0.0241,154.0
6.252,0.0,0.0,0.005,-0.0104,-0.0167,-0.071,-0.0104,-0.0167,-0.077,0.0221,91.4
9.363,0.6104,0.0037,-0.187,0.5941,-0.0044,-0.268,-0.0163,-0.0072,-0.082,0.0294,109.9
12.47,1.47,-0.0034,-0.093,1.444,-0.0116,-0.62,-0.0259,0.0053,-0.527,0.0466,106.9
15.586,2.3416,0.0067,2.236,2.3047,0.0126,1.623,-0.0368,0.031,-0.613,0.0493,116.2
18.691,2.4536,0.0079,-5.262,2.4125,0.0249,-5.795,-0.0411,0.0397,-0.533,0.0469,104.9
