elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.325,0.0,0.0,-0.011,-0.006,-0.0123,0.018,-0.006,-0.0123,0.029,0.0214,191.4
6.514,0.0,0.0,-0.016,-0.0073,-0.0153,-0.045,-0.0073,-0.0153,-0.028,0.0251,188.4
9.565,0.0,0.0,-0.027,-0.0089,-0.0177,-0.025,-0.0089,-0.0177,0.003,0.022,50.5
12.62,0.7449,0.1453,10.86,0.7349,0.1352,10.877,-0.0099,-0.0103,0.017,0.0312,55.1
15.679,1.4417,0.361,44.994,1.4269,0.3503,44.22,-0.0195,0.0088,-0.775,0.0383,58.6
18.716,1.9342,0.9262,46.527,1.9288,0.9234,45.945,-0.0148,0.0169,-0.583,0.0351,37.0
21.758,2.4451,1.4661,41.869,2.4285,1.4622,41.559,-0.0245,0.0094,-0.31,0.0438,41.8
24.832,3.1744,1.6656,10.486,3.1376,1.6514,9.993,-0.0511,0.0132,-0.493,0.0407,74.2
27.885,3.9099,1.8005,9.163,3.8768,1.7808,8.528,-0.0528,0.0236,-0.634,0.0429,52.7
30.953,4.4925,2.2754,39.886,4.4532,2.2488,39.514,-0.0539,0.0027,-0.372,0.0439,67.7
34.009,5.0879,2.7838,37.244,5.0439,2.7376,36.661,-0.0721,0.0057,-0.583,0.064,55.2
37.037,5.7648,2.9642,2.631,5.6979,2.9199,1.814,-0.1086,0.0382,-0.817,0.0654,28.2
40.105,6.5323,2.9959,3.345,6.4562,2.9259,2.81,-0.1038,-0.0088,-0.535,0.0487,67.2
43.156,6.8179,2.4225,-92.648,6.7398,2.344,-92.973,-0.0918,-0.0397,-0.326,0.0627,51.3
46.203,6.7847,1.6602,-91.972,6.7123,1.5864,-92.129,-0.0769,-0.0552,-0.157,0.0818,46.4
49.267,6.7487,0.8728,-92.148,6.6923,0.8433,-92.117,-0.0559,-0.0331,0.031,0.0442,63.9
52.339,6.7075,0.0903,-93.334,6.6662,0.0811,-93.38,-0.0413,-0.0039,-0.045,0.0402,71.9
55.371,6.6595,-0.6998,-92.966,6.6299,-0.6986,-93.066,-0.0284,0.0128,-0.1,0.0329,32.0
58.427,6.6138,-1.4987,-92.593,6.5897,-1.5112,-92.741,-0.0201,0.0046,-0.148,0.0587,56.3
61.475,6.5753,-2.291,-91.467,6.5648,-2.2937,-92.125,0.0163,0.0726,-0.658,0.0344,47.7
64.534,6.1646,-2.6895,173.468,6.1496,-2.6625,172.643,0.0245,0.1155,-0.825,0.0393,58.3
67.597,5.3394,-2.6431,179.088,5.3364,-2.6026,178.21,0.0381,0.122,-0.878,0.0443,63.4
70.643,4.6671,-2.5073,148.376,4.6561,-2.4691,147.648,0.0212,0.0973,-0.727,0.0495,45.2
73.687,3.9795,-2.0761,150.809,3.9747,-2.0724,149.559,0.0415,0.0901,-1.25,0.0704,43.8
76.746,3.2635,-1.6455,151.699,3.2588,-1.6571,150.001,0.0455,0.0844,-1.698,0.0565,59.2
79.81,2.6956,-1.2134,116.318,2.7046,-1.2389,115.473,0.0272,0.014,-0.845,0.0376,63.4
82.864,2.3477,-0.4916,118.932,2.3711,-0.5629,117.943,0.0322,-0.0308,-0.989,0.0516,53.7
85.928,1.9653,0.1306,153.506,2.0095,0.0489,152.093,0.0415,-0.0332,-1.413,0.0357,63.5
88.951,1.1847,0.1874,178.868,1.2336,0.0803,178.211,0.0468,-0.0935,-0.658,0.0315,23.6
92.03,0.4294,0.2417,176.149,0.4736,0.112,175.821,0.0429,-0.1272,-0.328,0.032,78.5
