elapsed_s,odom_x,odom_y,odom_h_deg,map_x,map_y,map_h_deg,corr_dx,corr_dy,corr_dtheta_deg,icp_err,cycle_ms
3.121,0.0,0.0,-0.022,-0.0067,-0.0112,0.025,-0.0067,-0.0112,0.047,0.0211,104.6
6.262,0.0,0.0,-0.033,-0.0083,-0.014,-0.068,-0.0083,-0.014,-0.035,0.0244,140.7
9.321,0.0,0.0,-0.044,-0.0103,-0.0166,-0.046,-0.0103,-0.0166,-0.002,0.0215,58.9
12.377,0.0,0.0,-0.071,-0.01,-0.0174,-0.026,-0.01,-0.0174,0.046,0.0224,55.5
15.415,0.0,0.0,-0.088,-0.0102,-0.0181,-0.029,-0.0102,-0.0181,0.059,0.0217,37.6
18.462,0.0,0.0,-0.099,-0.0093,-0.0171,-0.073,-0.0093,-0.0171,0.026,0.024,46.5
21.525,0.0,0.0,-0.121,-0.0104,-0.0179,-0.143,-0.0104,-0.0179,-0.022,0.0216,63.2
24.575,0.0,0.0,-0.137,-0.0096,-0.017,-0.27,-0.0096,-0.017,-0.133,0.0255,50.1
